,close,date,low,ticker,weeks of decline,weeks until rebound
648,39.84,20160226,33.91,CIR,2,2
649,42.73,20160304,35.92,CIR,9,3
650,56.45,20160429,48.14,CIR,9,11
651,49.52,20160422,42.96,CIR,19,10
652,49.71,20160819,42.89,OKE,5,27
653,45.19,20160610,38.83,OKE,26,17
654,23.01,20160226,18.93,OKE,2,2
655,26.36,20160304,20.31,OKE,23,3
656,17.99,20160527,15.01,PLNT,21,15
657,15.78,20160415,13.68,PLNT,25,9
658,17.99,20160527,15.41,PLNT,24,15
659,9.5,20160805,8.13,IRT,5,25
660,10.63,20160923,9.0,IRT,23,32
661,26.8,20160219,21.68,PBF,2,1
662,26.8,20160219,22.77,PBF,23,1
663,26.8,20160219,23.0,PBF,5,1
664,28.98,20160226,24.74,PBF,23,2
665,31.59,20160304,26.8,PBF,26,3
666,28.98,20160226,23.36,PBF,20,2
667,26.8,20160219,19.99,PBF,21,1
668,26.8,20160219,22.19,PBF,26,1
669,30.54,20160226,25.64,GME,9,2
670,28.19,20160219,20.73,GME,10,1
671,28.19,20160219,20.7,GME,20,1
672,28.19,20160219,20.59,GME,12,1
673,28.19,20160219,19.15,GME,24,1
674,37.82,20160219,20.06,KR,15,1
675,37.82,20160219,22.29,KR,23,1
676,10.0,20170929,8.51,NR,8,85
677,10.0,20170929,8.48,NR,26,85
678,6.93,20160805,5.5,NR,15,25
679,5.27,20160422,4.44,NR,21,10
680,4.26,20160304,3.54,NR,26,3
681,4.26,20160304,3.62,NR,23,3
682,5.27,20160422,4.37,NR,1,10
683,5.27,20160422,4.35,NR,23,10
684,7.8,20161125,6.75,NR,23,41
685,9.22,20160219,7.32,BCS,2,1
686,3.23,20160603,2.77,PQ,21,16
687,2.53,20160527,2.02,PQ,18,15
688,2.1,20160520,1.21,PQ,21,14
689,2.1,20160520,1.15,PQ,15,14
690,2.1,20160520,1.12,PQ,25,14
691,0.4941,20160219,0.33,PQ,21,1
692,0.4941,20160219,0.37,PQ,4,1
693,0.4941,20160219,0.33,PQ,23,1
694,0.4941,20160219,0.3701,PQ,23,1
695,0.6,20160311,0.4941,PQ,23,4
696,0.5306,20160304,0.45,PQ,23,3
697,0.62,20160318,0.53,PQ,23,5
698,2.1,20160520,0.7911,PQ,23,14
699,2.53,20160527,1.9,PQ,1,15
700,2.1,20160520,1.77,PQ,23,14
701,3.23,20160603,2.35,PQ,26,16
702,2.53,20160527,2.16,PQ,21,15
703,2.1,20160520,1.77,PQ,17,14
704,2.1,20160520,1.74,PQ,24,14
705,2.1,20160520,1.68,PQ,17,14
706,2.1,20160520,1.58,PQ,25,14
707,11.87,20160429,9.73,ENBL,8,11
708,6.88,20160304,5.52,ENBL,22,3
709,6.88,20160304,5.98,ENBL,10,3
710,16.11,20161111,13.85,ENBL,11,39
711,10.78,20160219,5.81,GTN,1,1
712,10.78,20160219,6.01,GTN,10,1
713,10.78,20160219,7.05,GTN,10,1
714,11.75,20160226,9.83,GTN,2,2
715,10.78,20160219,7.26,GTN,8,1
716,10.78,20160219,8.57,GTN,1,1
717,10.78,20160219,7.26,GTN,10,1
718,12.85,20160429,11.15,GTN,3,11
719,12.5,20160304,10.4,GTN,25,3
720,11.75,20160226,9.9,GTN,25,2
721,10.78,20160219,8.1,GTN,25,1
722,10.78,20160219,9.15,GTN,1,1
723,10.78,20160219,8.1,GTN,10,1
724,15.7,20170929,13.1,GTN,10,85
725,15.7,20170929,13.5,GTN,10,85
726,21.03,20170714,18.06,TDF,4,74
727,17.06,20160401,14.81,TDF,25,7
728,18.2,20161202,15.09,MRO,5,42
729,8.03,20160226,6.73,MRO,9,2
730,11.0,20160304,8.03,MRO,1,3
731,8.03,20160226,6.73,MRO,11,2
732,13.01,20160415,10.29,MRO,11,9
733,13.01,20160415,11.05,MRO,1,9
734,13.01,20160415,10.87,MRO,11,9
735,63.99,20160219,42.13,CPK,3,1
736,28.56,20160304,24.73,POL,4,3
737,6.88,20160226,5.67,CALX,15,2
738,5.94,20160219,4.65,CALX,4,1
739,5.94,20160219,5.04,CALX,14,1
740,8.8,20160722,7.43,CYS,8,23
741,8.52,20160603,7.33,CYS,25,16
742,38.37,20160318,31.95,ST,5,5
743,12.05,20160304,10.34,VSH,1,3
744,12.16,20160311,10.55,VSH,16,4
745,46.72,20160219,15.26,DAL,2,1
746,46.72,20160219,14.39,DAL,16,1
747,46.72,20160219,32.91,DAL,16,1
748,82.71,20160219,67.41,KSU,14,1
749,98.22,20160422,81.98,KSU,16,10
750,64.27,20160219,35.68,SOR,2,1
751,21.85,20160219,12.64,WD,9,1
752,21.85,20160219,12.96,WD,16,1
753,23.65,20160226,20.4,WD,1,2
