,Ticker,Open,Close,Date,Volume
0,IR,37.87,31.86,2011-08-05,52012400
1,IR,13.94,11.84,2009-03-06,42700400
2,IR,18.1,15.11,2008-11-14,28870700
3,IR,20.87,17.07,2008-10-24,33122800
4,IR,26.65,20.17,2008-10-10,46371200
5,IR,77.26,40.21,2005-09-02,6102800
6,IR,42.0,35.0,2002-07-19,14247000
7,IR,36.5,31.02,2001-09-21,8326900
8,IR,42.19,34.25,2000-09-22,14694350
9,IR,46.25,38.94,2000-02-11,8360750
10,PTY,8.07,5.9,2009-03-06,3341314
11,PTY,10.26,8.61,2009-02-20,2522942
12,PTY,10.0,8.5,2008-11-14,2205808
13,PTY,9.96,7.28,2008-10-10,3483433
14,RL,111.2,87.25,2016-02-05,21503955
15,RL,166.44,138.87,2015-02-06,19556707
16,RL,47.25,39.65,2008-10-24,9534500
17,RL,70.64,57.99,2008-10-03,9184900
18,RL,16.19,13.38,2000-05-26,1160800
19,GPM,8.24,6.6,2008-11-21,596453
20,GPM,9.59,6.85,2008-10-10,967704
21,HDB,57.0,48.29,2008-11-21,3724224
22,HDB,69.07,58.01,2008-11-14,4647182
23,HDB,67.07,53.01,2008-10-24,3866636
24,HDB,77.17,62.0,2008-10-10,4018380
25,HDB,30.61,25.98,2004-05-14,416500
26,HDB,15.25,12.49,2001-09-21,512600
27,NAT,2.5,2.1,2018-02-02,11502348
28,NAT,3.63,2.71,2017-12-15,33801607
29,NAT,11.5,9.71,2013-04-05,17768000
30,NAT,33.89,25.79,2008-11-21,7239000
31,NAT,40.19,33.98,2008-08-22,3386900
32,NAT,33.01,25.57,2004-08-06,2405100
33,NAT,37.71,31.81,2004-07-16,4483100
34,NAT,13.4,10.65,2002-07-26,508900
35,SCD,7.58,6.21,2008-11-21,825725
36,SCD,10.18,6.9,2008-10-10,964225
37,JCI,25.74,20.5,2008-11-14,75014200
38,JCI,31.42,26.19,2008-10-10,55044700
39,JCI,14.39,11.5,2003-03-14,345079200
40,JCI,18.8,10.1,2002-06-07,997311200
41,JCI,29.5,19.9,2002-04-26,570991600
42,JCI,44.0,35.63,2002-02-01,996707600
43,LEJU,1.95,1.47,2017-09-08,724395
44,LEJU,2.49,1.84,2017-06-30,555471
45,LEJU,4.44,3.76,2016-09-02,915866
46,LEJU,6.75,5.25,2015-08-21,2731395
47,NXJ,10.53,8.1,2008-10-10,160233
48,BFZ,9.16,7.57,2008-12-12,313779
49,BFZ,12.64,10.62,2008-11-14,210635
50,BFZ,12.4,8.48,2008-10-10,703327
51,FAF,19.38,13.73,2010-06-04,7733100
52,MKL,312.25,248.0,2008-11-21,395500
53,MKL,455.01,385.5,2008-09-26,118600
54,TRV,38.41,30.5,2008-10-10,41921273
55,TRV,48.76,40.85,2001-07-20,20960400
56,TEGP,13.67,11.22,2016-02-12,5436254
57,MTRN,38.59,30.97,2011-08-05,1030100
58,MTRN,25.03,18.45,2009-10-30,1708800
59,MTRN,15.92,13.27,2009-02-20,816400
60,MTRN,9.64,7.7,2008-11-21,2075400
61,MTRN,12.01,9.75,2008-11-14,1533300
62,MTRN,14.33,11.51,2008-10-24,1375000
63,MTRN,19.3,14.16,2008-10-03,1660700
64,MTRN,25.93,19.76,2008-09-26,1210100
65,MTRN,30.48,25.57,2008-06-27,2095500
66,MTRN,30.692,24.99,2008-02-08,2657000
67,MTRN,31.76,26.49,2008-01-18,1599600
68,MTRN,54.47,45.74,2007-10-26,3631700
69,MTRN,51.12,39.97,2007-06-22,7144800
70,MTRN,59.19,49.76,2007-04-27,5671900
71,MTRN,17.3,14.31,2005-04-29,973700
72,MTRN,19.9,15.6,2004-10-29,1939000
73,MTRN,7.3,5.18,2002-11-01,1001500
74,MTRN,9.0,7.32,2002-09-20,198600
75,MTRN,20.75,16.79,2001-06-22,235100
76,KB,49.24,41.68,2010-05-07,2263975
77,KB,22.08,17.52,2008-11-21,4016415
78,KB,39.76,28.43,2008-10-17,6365394
79,KB,29.31,24.9,2003-03-28,2201400
80,RBC,77.42,65.77,2013-05-03,4833300
81,SNN,78.55,30.42,2014-10-17,1989488
82,SNN,47.0,39.23,2008-10-24,646448
83,SNN,84.1,40.38,2003-12-19,244700
84,GRAM,3.25,2.75,2017-12-15,1237807
85,GRAM,3.8,3.14,2017-11-17,1253481
86,GRAM,5.07,3.7,2017-11-10,1104105
87,GRAM,2.6,2.2,2017-03-17,3069963
88,GRAM,5.15,3.32,2017-02-24,2692630
89,GRAM,6.09,4.8,2017-01-13,2488432
90,GRAM,8.6,6.9,2016-11-18,347731
91,GRAM,5.49,4.26,2015-08-14,545329
92,GRAM,12.08,10.14,2015-01-16,165074
93,EHI,7.0,5.27,2008-11-21,808967
94,EHI,8.5,5.9698,2008-10-10,1360691
95,XRM,7.4,5.94,2017-08-04,446020
96,XRM,8.27,6.57,2016-10-28,602998
97,XRM,8.95,5.8,2016-03-18,1289838
98,XRM,8.33,6.96,2016-02-12,520359
99,XRM,16.62,14.04,2011-08-05,321700
100,XRM,15.77,13.4,2010-06-11,326000
101,XRM,0.8,0.58,2009-11-13,2166000
102,XRM,1.0,0.74,2009-11-06,1994000
103,XRM,1.15,0.97,2009-10-30,1462000
104,XRM,1.1,0.88,2009-07-10,1108000
105,XRM,1.57,1.29,2009-06-12,2492000
106,XRM,0.69,0.57,2009-03-06,330513
107,XRM,0.7,0.57,2009-02-13,578000
108,XRM,0.64,0.49,2009-01-30,502000
109,XRM,1.14,0.83,2008-12-05,1582000
110,XRM,1.98,0.97,2008-11-21,3496000
111,XRM,4.07,1.99,2008-11-14,1282000
112,XRM,5.82,4.64,2008-10-24,2528000
113,XRM,5.48,4.1,2008-10-10,1430000
114,XRM,4.98,4.07,2008-06-27,1842000
115,XRM,4.77,1.23,2008-03-20,6452000
116,XRM,4.4,3.69,2007-11-02,890000
117,XRM,5.4,4.59,2007-09-07,716000
118,XRM,6.28,5.05,2007-08-10,1308000
119,XRM,9.67,7.45,2005-11-18,2172000
120,BLH,15.5,12.85,2008-10-10,76620
121,APH,99.72,45.7,2014-10-10,6783828
122,APH,26.68,22.25,2008-11-14,24229600
123,APH,34.25,28.57,2008-10-10,27826000
124,APH,41.98,35.15,2008-10-03,78260200
125,APH,58.75,30.99,2004-04-02,3286400
126,APH,47.6,40.31,2001-06-15,3460400
127,APH,45.75,34.31,2000-12-22,12676600
128,APH,57.56,44.38,2000-12-15,3114200
129,APH,62.69,52.63,2000-11-24,1498200
130,APH,111.5,63.75,2000-04-28,1997300
131,APH,120.0,92.63,2000-04-14,1887400
132,VRTV,27.75,22.7,2018-02-09,711891
133,VRTV,31.9,23.65,2017-11-10,1606384
134,VRTV,38.25,28.0,2017-08-04,1688486
135,VRTV,51.85,41.95,2017-05-05,1447857
136,VRTV,53.65,45.2,2016-11-18,1982773
137,SHW,57.58,46.97,2009-01-23,18827300
138,SHW,52.68,41.29,2006-02-24,51999200
139,SHW,25.85,20.52,2001-04-06,14214300
140,HQH,34.11,28.9,2015-09-25,1168885
141,HQH,10.7,8.92,2008-11-21,422679
142,HQH,24.3,19.41,2001-09-21,345800
143,HQH,30.0,21.63,2000-04-14,540100
144,DVN,22.34,18.65,2016-02-19,175461851
145,DVN,77.17,60.0,2008-10-10,52412000
146,DVN,75.9,38.68,2004-11-19,11722850
147,DVN,60.0,50.4,2000-10-27,4411600
148,KT,15.01,11.01,2008-10-24,5976300
149,KT,41.5,34.0,2000-04-14,3107900
150,AFL,39.26,24.49,2009-01-23,99434700
151,AFL,41.44,33.71,2008-11-21,29847800
152,AFL,51.19,39.5,2008-10-10,36924100
153,GDV,7.45,6.15,2009-03-06,1852033
154,GDV,10.18,7.96,2008-11-21,2199765
155,GDV,12.96,8.8,2008-10-10,3687998
156,CDR,5.01,3.97,2011-08-05,1813800
157,CDR,8.05,6.75,2010-05-07,1649800
158,CDR,4.25,3.56,2009-05-15,1978800
159,CDR,2.8,1.98,2009-03-20,1885800
160,CDR,3.29,2.73,2009-03-13,1336300
161,CDR,4.68,3.32,2009-03-06,1441800
162,CDR,6.35,5.17,2009-02-20,1069200
163,CDR,6.6,4.22,2008-11-21,2334000
164,CDR,8.9,6.62,2008-11-14,1685500
165,CDR,11.73,9.52,2008-10-10,3237800
166,CDR,15.0,11.5,2003-10-24,2560900
167,CDR,3.57,2.81,2003-10-17,46800
168,CDR,3.79,2.77,2003-07-25,6600
169,CDR,7.1,3.79,2003-07-18,19500
170,CDR,4.23,2.61,2002-10-11,1800
171,CDR,5.75,3.77,2002-08-16,6000
172,CDR,8.8,5.4,2002-06-07,18900
173,CDR,6.0,5.03,2002-04-26,3300
174,CDR,5.15,3.85,2001-10-12,3900
175,CDR,4.0,3.38,2001-08-31,300
176,CDR,2.875,2.31,2001-04-06,13800
177,CDR,3.0,2.37,2001-03-16,1500
178,CDR,3.69,3.0,2001-03-02,1800
179,CDR,3.25,2.69,2000-12-22,1200
180,CDR,6.0,4.0,2000-04-14,11700
181,CDR,6.56,5.56,2000-02-11,300
182,IDT,16.08,11.47,2017-12-08,3649317
183,IDT,17.22,14.53,2017-06-09,2664110
184,IDT,19.5,13.14,2017-03-10,2725998
185,IDT,13.99,11.05,2015-12-11,1012862
186,IDT,12.82,9.74,2011-12-16,2277200
187,IDT,17.29,14.55,2010-08-27,2611800
188,IDT,10.0,8.11,2010-05-07,1009100
189,IDT,1.28,1.08,2009-03-13,518900
190,IDT,0.34,0.27,2009-01-23,1530900
191,IDT,0.53,0.24,2008-12-19,4314900
192,IDT,0.535,0.43,2008-11-28,2618700
193,IDT,0.75,0.5,2008-11-21,2029200
194,IDT,0.95,0.79,2008-09-19,5343000
195,IDT,1.34,0.98,2008-09-12,7207500
196,IDT,2.08,1.73,2008-06-27,5796300
197,IDT,2.85,2.39,2008-06-13,1906500
198,IDT,3.63,2.88,2008-06-06,2228400
199,IDT,5.67,3.6,2008-03-14,4731300
200,IDT,8.16,6.87,2008-01-04,2920800
201,FLO,17.89,14.85,2016-08-12,40298826
202,FLO,20.0,15.71,2016-02-12,26227389
203,FLO,33.42,21.55,2013-06-21,6435367
204,FLO,30.49,25.87,2005-11-11,3940148
205,FLO,21.75,18.3,2002-12-20,1122094
