,close,date,low,low date,ticker,weeks of decline,weeks until rebound
407,32.17,20160729,27.65,20160226,YELP,2,15
419,16.86,20160715,13.11,20160226,CBD,23,13
438,51.59,20160422,37.13,20160226,JWN,6,1
441,30.59,20160422,13.18,20160226,CXW,10,1
445,15.99,20160422,11.07,20160226,SPN,23,1
450,43.87,20160701,10.51,20160226,HTZ,21,11
451,22.07,20170310,11.83,20160226,SNAP,22,1
452,18.83,20160422,12.17,20160226,RNG,9,1
466,12.5,20170526,10.54,20160226,ATV,17,58
467,22.1,20171006,18.44,20160226,MYE,13,77
468,15.02,20160603,12.95,20160226,MYE,7,7
469,12.98,20160422,11.14,20160226,MYE,26,1
472,33.45,20161125,29.03,20160226,HCI,15,32
473,12.29,20160429,10.3,20160226,LRN,13,2
484,24.96,20160422,12.2,20160226,NOAH,15,1
496,39.25,20161230,33.96,20160226,TISI,1,37
497,31.13,20160422,22.9,20160226,TISI,18,1
500,66.27,20160422,56.94,20160226,MNK,14,1
504,88.73,20160422,22.21,20160226,ELLI,11,1
508,44.89,20160422,25.99,20160226,RH,16,1
510,57.15,20170505,42.54,20160226,RH,9,55
511,20.67,20160603,16.88,20160226,DYN,7,7
518,21.34,20160422,16.87,20160226,EEQ,11,1
519,17.87,20160422,13.51,20160226,HMLP,4,1
521,23.14,20160902,19.95,20160226,BBU,9,11
527,32.22,20160422,21.76,20160226,RSPP,9,1
528,69.06,20160422,57.77,20160226,CL,15,1
529,254.1,20160422,209.7,20160226,JHG,21,1
533,50.02,20160422,35.14,20160226,INT,21,1
539,13.39,20160422,10.31,20160226,DL,18,1
540,41.21,20160422,28.48,20160226,SSTK,12,1
552,12.35,20161021,10.15,20160226,MTR,18,27
561,15.51,20160422,12.9,20160226,SCS,9,1
569,38.25,20171110,32.88,20160226,TU,24,82
572,15.0,20161125,13.04,20160226,WAIR,10,32
608,67.98,20160422,55.33,20160226,DY,12,1
609,89.11,20160701,75.66,20160226,DY,12,11
621,26.95,20161216,10.58,20160226,KEG,12,35
622,35.15,20160422,19.04,20160226,OII,18,1
623,12.2,20160422,10.41,20160226,PHH,1,1
625,14.49,20160603,12.35,20160226,PHH,5,7
630,22.48,20161014,19.17,20160226,WAAS,1,1
638,70.5,20160422,23.2,20160226,GCO,14,1
653,50.48,20161223,43.69,20160226,KYO,23,36
654,19.31,20160422,12.61,20160226,EXPR,25,1
662,64.95,20160422,20.68,20160226,WCN,2,1
663,35.71,20170602,30.42,20160226,SNN,2,59
664,12.36,20160819,10.66,20160226,WPX,16,18
666,15.07,20160422,11.85,20160226,TIME,3,1
669,25.64,20160729,20.72,20160226,YRD,18,15
670,27.95,20160812,23.32,20160226,YRD,2,17
671,38.0,20160422,24.91,20160226,ZOES,8,1
674,17.57,20160603,15.15,20160226,RENX,9,7
685,70.68,20160422,47.74,20160226,BMY,25,1
690,29.15,20160422,16.34,20160226,FLOW,2,1
691,29.48,20160422,19.75,20160226,SEMG,23,1
693,15.9,20160422,12.77,20160226,AEO,24,1
695,60.9,20170609,51.4,20160226,ESE,2,60
696,31.65,20160422,23.22,20160226,IPHI,2,1
697,43.7,20160819,36.61,20160226,IPHI,22,18
698,31.32,20160422,23.27,20160226,BKE,6,1
705,17.55,20170804,14.46,20160226,KEM,5,68
706,14.52,20171117,12.54,20160226,ALDW,25,83
707,12.16,20170804,10.57,20160226,ALDW,18,68
712,49.11,20160422,20.89,20160226,VSTO,5,1
728,18.12,20160422,13.0,20160226,KMI,6,1
740,14.4,20160422,10.21,20160226,KBH,5,1
742,20.95,20160429,17.36,20160226,WPM,5,2
743,12.16,20160422,10.17,20160226,LADR,1,1
744,13.37,20160422,10.15,20160226,DMB,10,1
746,24.55,20170428,20.4,20160226,LL,13,54
747,15.04,20160422,12.06,20160226,LL,23,1
748,16.85,20160708,13.82,20160226,LL,23,12
749,15.04,20160422,12.06,20160226,LL,15,1
752,17.97,20160923,15.31,20160226,LL,15,23
753,32.56,20160422,14.55,20160226,THC,2,1
755,13.28,20160429,10.72,20160226,ARCX,9,2
757,11.82,20160422,10.06,20160226,ARCX,12,1
758,23.96,20160422,18.01,20160226,GPS,1,1
760,31.68,20161125,27.34,20160226,XON,12,32
761,30.02,20160527,25.67,20160226,XON,21,6
762,29.01,20160422,23.95,20160226,XON,8,1
771,66.78,20160422,33.12,20160226,FNV,23,1
772,59.65,20160422,46.98,20160226,NPO,23,1
773,52.99,20160701,41.82,20160226,RDY,14,11
780,59.5,20160422,45.05,20160226,LXFT,11,1
782,14.25,20161209,11.15,20160226,MSL,2,34
788,20.06,20160422,13.83,20160226,YPF,16,1
804,14.32,20160422,10.1,20160226,TGP,5,1
806,19.03,20160527,16.12,20160226,JBL,19,6
807,15.19,20160422,12.55,20160226,NYLD,17,1
812,16.08,20160701,11.92,20160226,TDOC,23,11
816,19.28,20160729,16.57,20160226,RELX,19,15
822,20.84,20170915,18.02,20160226,CHN,1,74
823,20.68,20170825,17.9599,20160226,CHN,4,71
824,34.97,20160422,30.02,20160226,SMP,4,1
825,51.62,20160422,34.33,20160226,LDOS,26,1
827,16.67,20160422,10.25,20160226,DF,2,1
832,15.73,20160812,12.71,20160226,GLP,8,17
836,33.69,20160422,21.34,20160226,XPO,17,1
837,56.8,20160422,39.05,20160226,NVO,14,1
838,108.19,20160812,86.94,20160226,RL,1,17
839,16.23,20160422,11.65,20160226,SFS,2,1
859,19.1,20160422,11.44,20160226,KNOP,4,1
861,65.46,20160422,40.52,20160226,CPA,6,1
862,21.71,20160422,16.96,20160226,EEP,1,1
889,60.18,20160422,52.25,20160226,HEI,3,1
890,61.31,20160429,52.6,20160226,HEI,15,2
896,14.4,20161202,10.97,20160226,TLYS,3,33
903,40.72,20160422,33.66,20160226,UFS,16,1
904,28.96,20160422,14.05,20160226,WPZ,4,1
908,21.94,20160422,17.77,20160226,BGG,12,1
909,22.3,20160527,19.1,20160226,BGG,12,6
914,14.79,20160729,12.7,20160226,VCRA,1,15
917,31.67,20160422,13.82,20160226,FN,23,1
918,21.28,20160422,16.51,20160226,SUM,23,1
928,28.11,20160422,14.28,20160226,G,14,1
929,30.93,20160422,25.55,20160226,DPLO,4,1
936,33.08,20160422,18.3,20160226,MPLX,10,1
938,51.5,20160805,42.98,20160226,PAYC,26,16
939,71.27,20160603,59.65,20160226,URI,10,7
940,66.01,20160422,45.45,20160226,URI,2,1
941,34.89,20160422,23.58,20160226,HEP,4,1
971,20.87,20160422,12.61,20160226,VLRS,24,1
972,16.84,20160422,12.0,20160226,DK,24,1
997,153.15,20160422,129.2,20160226,PXD,3,1
998,46.72,20170609,40.43,20160226,TPR,3,60
999,21.53,20160422,16.02,20160226,ITG,2,1
1002,15.41,20160422,12.21,20160226,CPN,1,1
1003,12.11,20170127,10.41,20160226,PAH,11,41
1007,29.24,20160422,21.65,20160226,CEA,25,1
1008,32.3,20161223,27.8,20160226,ATGE,1,36
1009,19.31,20160506,16.74,20160226,ATGE,5,3
1010,17.49,20160422,13.12,20160226,HPE,1,1
1012,15.65,20160520,13.59,20160226,SFL,12,5
1013,17.94,20160422,13.66,20160226,IGT,10,1
1015,13.28,20160708,11.51,20160226,P,1,12
1020,26.0,20170106,22.06,20160226,SMLP,2,38
1021,20.11,20160422,15.25,20160226,SMLP,19,1
