,close,date,low,low date,ticker,weeks of decline,weeks until rebound
0,27.49,20160422,20.37,20160226,TOWR,3,1
1,38.53,20160422,31.79,20160226,MATX,2,1
3,14.7,20170428,12.26,20160226,IVC,10,54
4,17.45,20171110,14.95,20160226,IVC,7,82
5,13.74,20160422,10.38,20160226,IVC,12,1
8,13.1,20171020,10.48,20160226,NL,1,79
18,18.0,20170127,15.4,20160226,KN,2,41
22,12.5,20160422,10.46,20160226,ESTE,4,1
28,48.22,20160422,22.82,20160226,SHI,21,1
35,38.42,20160422,26.36,20160226,AGM,1,1
36,59.71,20160422,33.0,20160226,NC,22,1
46,24.43,20160422,19.37,20160226,MMI,14,1
47,19.08,20160422,15.48,20160226,INFY,2,1
48,35.07,20160422,29.67,20160226,FCN,3,1
49,40.3,20160429,31.31,20160226,FCN,11,2
51,17.74,20160422,14.67,20160226,FCPT,1,1
77,18.95,20170616,16.46,20160226,STAY,1,61
78,19.8,20170623,16.81,20160226,STAY,8,62
79,32.8,20160422,25.64,20160226,GME,9,1
87,16.93,20160422,12.99,20160226,FI,7,1
100,27.6,20170804,22.91,20160226,DQ,9,68
102,26.07,20160422,19.33,20160226,DQ,15,1
107,62.22,20160715,52.1,20160226,DECK,1,13
108,19.96,20160422,12.68,20160226,BANC,1,1
110,36.22,20160422,22.72,20160226,HFC,9,1
111,16.47,20160429,14.26,20160226,FC,1,2
112,12.11,20160422,10.14,20160226,ASA,5,1
113,14.25,20161125,10.86,20160226,MYOV,10,4
114,12.3,20161104,10.59,20160226,MYOV,8,1
115,14.25,20161125,11.35,20160226,MYOV,17,4
116,12.63,20160422,10.64,20160226,TMST,14,1
121,56.86,20160422,27.64,20160226,TAL,4,1
122,18.83,20160422,10.37,20160226,KNX,1,1
130,108.33,20160422,64.17,20160226,EW,26,1
131,33.22,20160422,23.54,20160226,BBY,2,1
142,25.19,20160422,16.12,20160226,KOP,11,1
151,12.73,20160422,10.4,20160226,GTN,25,1
160,22.36,20160812,19.19,20160226,PLNT,18,17
168,40.9,20160422,10.99,20160226,CBI,1,1
171,50.18,20160422,37.98,20160226,BC,19,1
180,12.93,20160422,10.3,20160226,WNC,3,1
182,22.78,20170428,18.97,20160226,WNC,16,54
183,35.98,20160422,26.98,20160226,VRX,25,1
194,41.22,20171020,35.49,20160226,SOR,2,79
195,14.27,20160422,10.81,20160226,MRC,7,1
196,46.7,20160422,26.83,20160226,GVA,7,1
207,85.9,20160422,63.42,20160226,OA,8,1
209,25.03,20160422,16.9,20160226,MG,4,1
213,13.1,20160422,10.87,20160226,CCJ,4,1
226,27.73,20160422,23.19,20160226,UFI,1,1
227,19.89,20160422,15.77,20160226,SEAS,17,1
239,34.11,20160422,25.99,20160226,PBF,25,1
240,81.5,20160422,55.04,20160226,PRLB,13,1
242,29.78,20160422,21.44,20160226,CTLT,6,1
251,35.99,20160422,31.06,20160226,PAG,4,1
252,13.3,20160422,10.95,20160226,VIPS,13,1
257,31.78,20160422,24.8,20160226,HYH,25,1
258,48.93,20170929,41.39,20160226,ODC,4,76
259,31.81,20160422,24.76,20160226,SHOP,16,1
262,56.95,20160422,41.81,20160226,AZZ,3,1
270,71.93,20160422,46.93,20160226,DDS,26,1
271,70.78,20160422,43.25,20160226,BMI,8,1
292,35.81,20160422,20.18,20160226,OKE,10,1
293,27.51,20160422,23.09,20160226,SJI,17,1
296,18.56,20160422,12.45,20160226,DDD,5,1
308,16.5,20160422,14.23,20160226,CMCM,23,1
312,18.19,20160422,11.95,20160226,GES,3,1
314,12.21,20160506,10.04,20160226,AHP,10,3
327,138.62,20160422,63.9,20160226,CHE,1,1
339,20.49,20170714,17.35,20160226,CYD,1,65
351,14.4,20160506,12.5,20160226,RYAM,11,3
352,36.74,20160422,16.05,20160226,REV,19,1
359,23.534,20160722,14.79,20160226,CGG,6,14
368,23.83,20160422,19.7,20160226,HRB,9,1
371,20.5,20171006,17.65,20160226,VSH,1,77
372,45.06,20160422,17.53,20160226,UA,11,1
374,57.33,20160422,37.05,20160226,TPX,9,1
376,14.9,20170512,12.94,20160226,BPI,17,56
387,39.67,20160422,17.04,20160226,TRGP,23,1
392,24.24,20160422,17.25,20160226,ERJ,25,1
393,77.93,20160422,15.86,20160226,HCC,9,1
395,40.47,20160422,25.84,20160226,AWR,16,1
396,38.43,20160422,31.89,20160226,CLR,2,1
398,14.41,20160422,10.85,20160226,JHX,11,1
403,19.37,20160429,14.84,20160226,ABX,15,2
404,30.41,20160701,26.4,20160226,YELP,13,11
405,26.5,20160506,22.17,20160226,YELP,21,3
