,date of low,low,number of weeks since drop,original closing price,original date,ticker
283,20151002,5.35,12,13.01,20160506,FELP
284,20160115,1.76,15,9.59,20150710,FELP
285,20160401,1.08,26,5.35,20151002,FELP
291,20160722,1.09,17,1.09,20160324,FELP
292,20140509,10.16,26,12.65,20131108,RST
293,20160212,5.69,4,69.94,20151106,GMZ
294,20130621,5.0,5,6.19,20160115,DS
295,20150116,4.17,10,5.95,20130517,DS
296,20160212,3.2,4,4.26,20141107,DS
297,20160513,3.23,17,3.23,20160115,DS
298,20160115,35.33,1,64.09,20141128,APA
299,20140214,6.17,12,36.65,20160108,CHGG
300,20140509,5.21,24,7.49,20131122,CHGG
302,20160324,4.12,4,5.72,20140411,CHGG
303,20160219,3.45,15,4.24,20160226,CCO
305,20171103,3.8,13,3.83,20160205,CCO
306,20171215,4.2,19,4.35,20170804,CCO
307,20141212,5.56,1,10.79,20141128,ECR
308,20150313,5.59,13,7.89,20141205,ECR
309,20150410,5.56,17,5.56,20141212,ECR
310,20151030,2.15,14,5.73,20150109,ECR
311,20160115,0.7988,25,3.91,20150724,ECR
312,20160219,0.7007,26,3.38,20150821,ECR
319,20160603,0.81,17,0.81,20160205,ECR
320,20161104,2.49,18,3.35,20160701,ECR
321,20170428,2.01,9,2.61,20160708,ECR
322,20170623,2.15,17,2.15,20170224,ECR
323,20130823,64.17,17,64.17,20130426,EW
324,20140801,5.2,11,96.16,20161028,JE
325,20141010,4.43,21,6.02,20140516,JE
326,20180202,4.06,12,5.62,20160212,JE
327,20131129,9.1,1,35.16,20130628,GCAP
328,20131227,7.15,5,8.86,20131122,GCAP
329,20140815,6.08,14,7.98,20140509,GCAP
330,20131213,4.06,1,8.4,20180112,NWY
331,20150320,2.13,19,4.27,20131206,NWY
332,20160617,1.42,4,2.63,20141107,NWY
333,20170512,1.45,20,1.75,20160520,NWY
334,20170616,1.34,25,2.15,20161223,NWY
335,20170922,1.56,24,1.56,20170407,NWY
336,20171103,29.85,11,58.72,20170519,FL
337,20130118,10.37,1,34.38,20170818,KNX
338,20130628,9.63,24,9.63,20130111,KNX
339,20160311,15.83,24,15.83,20150925,KNX
340,20170929,22.1,24,22.1,20170413,KNX
341,20140411,19.5,7,29.58,20170113,EIG
342,20160212,16.36,20,19.82,20140221,HQL
343,20150807,5.59,18,24.03,20150925,MVO
344,20151218,4.9601,21,12.0,20150402,MVO
345,20160122,3.97,26,5.92,20150724,MVO
346,20161118,5.17,9,6.18,20150911,MVO
347,20170303,5.14,24,5.14,20160916,MVO
348,20160527,11.44,23,11.44,20151218,KNOP
349,20160624,10.89,23,10.89,20160115,KNOP
350,20150306,23.86,16,37.13,20140829,MOV
351,20160115,22.67,9,26.25,20141114,MOV
352,20160415,21.54,22,21.54,20151113,MOV
353,20140613,23.16,25,26.49,20131220,WGO
354,20150327,16.42,15,36.28,20131213,CVE
355,20150612,16.1,26,17.33,20141212,CVE
356,20150807,9.28,20,28.09,20141205,VNCE
357,20151002,3.6,17,16.77,20150320,VNCE
360,20151120,3.62,1,5.24,20150904,VNCE
361,20160415,3.76,22,3.76,20151113,VNCE
362,20170512,0.33,17,4.59,20151211,VNCE
366,20171006,0.42,22,0.42,20170505,VNCE
367,20171013,0.33,22,0.33,20170512,VNCE
368,20130517,12.0,1,22.16,20160205,MRIN
369,20140815,7.58,1,9.99,20130510,MRIN
370,20150814,3.49,1,7.69,20140808,MRIN
371,20160506,2.17,1,3.93,20150807,MRIN
372,20160513,2.21,1,2.56,20160429,MRIN
373,20160603,2.17,4,2.17,20160506,MRIN
374,20170310,1.6,1,2.33,20160826,MRIN
375,20170811,1.0,23,1.5,20170303,MRIN
376,20180209,8.65,13,9.65,20171110,MRIN
377,20130628,11.45,1,13.96,20160205,AHT
378,20131213,7.93,25,11.6,20130621,AHT
379,20160212,4.84,4,8.23,20131122,AHT
380,20160506,4.67,16,4.67,20160115,AHT
381,20170818,5.92,25,6.41,20170224,AHT
382,20171110,11.0,14,14.1,20151106,AMC
384,20160909,49.04,1,49.04,20160902,GCO
385,20170901,23.2,14,36.75,20170526,GCO
387,20140808,6.98,21,9.69,20140314,SB
388,20160115,0.3477,9,2.06,20151113,SB
392,20160205,0.4,4,0.4605,20160108,SB
393,20160122,0.3477,1,0.3477,20160115,SB
394,20160513,0.9515,1,0.9515,20160506,SB
395,20141212,21.03,2,21.76,20141128,RSPP
396,20160212,23.22,1,23.22,20160205,IPHI
397,20170505,36.61,22,40.01,20161202,IPHI
398,20151113,5.69,18,32.07,20180119,CC
399,20160122,3.8,17,11.66,20150710,CC
402,20160617,3.98,22,3.98,20160115,CC
403,20150320,12.6,15,14.17,20141212,USDP
404,20160115,5.6499,5,12.66,20141205,USDP
406,20160219,6.03,5,6.04,20151218,USDP
407,20160617,5.6499,22,5.6499,20160115,USDP
408,20160715,6.36,22,6.36,20160212,USDP
409,20180209,9.25,22,9.25,20170908,USDP
410,20171013,5.0,22,52.55,20130301,VSI
411,20171110,3.5,26,12.65,20170512,VSI
412,20171201,3.65,3,6.2,20170811,VSI
413,20130920,4.36,14,4.61,20130614,GPT
415,20140711,5.33,11,5.33,20140425,GPT
416,20160212,5.34,5,6.13,20140725,GNRT
418,20160708,5.4,25,6.35,20160115,GNRT
419,20140221,22.26,2,34.35,20130705,RRTS
420,20151218,9.37,7,21.75,20140207,RRTS
421,20160122,7.25,12,10.64,20151030,RRTS
422,20160401,7.11,11,7.11,20160115,RRTS
423,20170324,6.29,7,8.05,20160506,RRTS
424,20180216,3.78,2,6.96,20170203,RRTS
425,20131129,51.76,5,78.43,20161111,TKR
426,20140801,44.51,4,51.38,20131025,TKR
427,20141010,38.5,14,49.57,20140703,TKR
428,20180209,45.7,14,52.65,20171103,RMAX
429,20131011,57.65,19,57.65,20130531,NBL
430,20160624,18.28,9,67.88,20130705,TBI
431,20161028,16.95,1,21.02,20160422,TBI
432,20170303,17.85,19,17.85,20161021,TBI
433,20160212,9.82,15,21.55,20170804,SC
434,20160324,9.15,21,18.01,20151030,SC
436,20160729,9.38,19,9.38,20160318,SC
437,20150410,42.2,19,42.2,20141128,HAL
438,20141212,30.81,2,111.28,20160205,HCLP
439,20151030,5.78,15,36.84,20141128,HCLP
440,20160115,4.38,26,21.62,20150717,HCLP
442,20160219,4.2,26,12.65,20150821,HCLP
443,20160226,3.7,24,12.65,20150911,HCLP
449,20160624,4.32,19,4.32,20160212,HCLP
450,20160708,3.7,19,3.7,20160226,HCLP
451,20160805,5.03,19,5.03,20160324,HCLP
452,20170818,7.55,25,17.35,20170224,HCLP
455,20171117,9.2,19,9.2,20170707,HCLP
456,20180216,15.3,1,21.0,20170707,DBD
457,20170519,16.9,16,17.63,20160115,EEQ
458,20170616,15.08,20,20.37,20170127,EEQ
459,20170324,44.68,5,51.76,20160429,MOH
460,20151023,29.22,10,48.23,20170217,ENV
461,20160617,9.77,3,33.83,20150814,PSTG
462,20170331,9.83,4,11.84,20160527,PSTG
463,20170707,9.51,18,9.51,20170303,PSTG
464,20160610,12.41,18,12.41,20160205,WK
465,20150130,16.81,7,18.74,20151016,FCX
467,20151113,8.68,16,19.24,20150116,FCX
468,20160122,3.94,26,12.29,20150724,FCX
471,20160520,4.35,18,4.35,20160115,FCX
472,20161014,9.66,23,11.79,20160506,FCX
473,20171215,18.61,19,20.6,20170804,TEVA
474,20150904,34.07,7,44.66,20161028,KR
475,20170929,20.06,15,38.72,20150717,KR
476,20161216,14.28,5,22.29,20170616,ABX
477,20170317,14.84,18,14.84,20161111,ABX
478,20160930,19.84,22,27.85,20160429,EOCC
479,20140509,8.86,16,26.12,20160205,AGI
480,20150130,5.3,1,10.18,20140117,AGI
481,20150807,3.06,4,6.04,20150123,AGI
482,20151120,2.94,19,4.84,20150710,AGI
483,20160122,2.44,26,3.32,20150724,AGI
485,20160520,2.57,18,2.57,20160115,AGI
486,20170317,6.34,18,6.34,20161111,AGI
487,20170922,7.72,18,7.72,20170519,BSBR
488,20160115,6.73,16,40.88,20130419,NAV
491,20160122,7.18,1,8.85,20151211,NAV
492,20160520,6.73,18,6.73,20160115,NAV
493,20160115,9.99,4,11.72,20160506,TGP
494,20160219,10.1,5,10.17,20151218,TGP
495,20151218,9.65,14,9.99,20160115,SCX
496,20160122,8.94,19,11.81,20150911,SCX
497,20180105,14.31,18,14.31,20170901,HPE
498,20150313,44.19,22,83.19,20141010,EMES
499,20150508,36.54,23,64.15,20141128,EMES
501,20151030,4.29,15,53.41,20150102,EMES
502,20160115,3.08,26,25.06,20150717,EMES
510,20160527,3.47,20,3.47,20160108,EMES
511,20160715,3.29,20,3.29,20160226,EMES
512,20160923,3.82,20,3.82,20160506,EMES
513,20170324,10.32,20,10.32,20161104,EMES
514,20170324,8.83,3,14.77,20160701,BW
515,20170818,1.95,24,10.49,20170303,BW
516,20170825,2.21,1,2.91,20170811,BW
517,20180105,1.95,20,1.95,20170818,BW
518,20160624,6.35,20,6.35,20160205,PZN
519,20150731,4.69,13,8.96,20171110,HHS
520,20160108,2.72,9,6.42,20150501,HHS
521,20160506,1.71,26,3.54,20151106,HHS
522,20160603,0.8659,21,2.72,20160108,HHS
525,20160826,1.3,15,1.3,20160513,HHS
526,20160916,0.8659,15,0.8659,20160603,HHS
527,20170908,0.8623,4,1.52,20161202,HHS
528,20171124,0.762,15,0.762,20170811,HHS
529,20160422,2.6,15,2.6,20160108,VALE
530,20160610,2.71,15,2.71,20160226,VALE
531,20160624,3.83,15,3.83,20160311,VALE
532,20141010,6.38,4,48.66,20130726,MXL
533,20141226,7.07,15,7.07,20140912,MXL
534,20150807,15.93,2,18.05,20160812,HTZ
535,20160212,7.49,5,15.93,20150724,HTZ
537,20160513,7.7,17,9.72,20160115,HTZ
538,20170609,8.81,11,28.0,20161111,HTZ
540,20170825,10.51,15,10.51,20170512,HTZ
541,20140801,3.86,21,5.08,20140307,HOV
542,20150807,1.5,8,2.67,20150612,HOV
543,20160115,1.46,23,1.5,20150807,HOV
544,20160318,1.43,1,1.43,20160311,HOV
545,20170413,2.16,13,2.28,20170113,HOV
546,20160219,22.7,1,22.7,20160212,DKL
547,20130830,20.79,10,21.55,20130621,FLO
548,20160219,15.71,1,15.71,20160212,FLO
549,20160909,14.6,4,14.85,20160812,FLO
550,20160115,11.01,5,11.05,20151211,IDT
551,20170324,12.52,2,13.14,20170310,IDT
552,20171103,12.84,21,14.53,20170609,IDT
553,20180209,10.03,9,11.47,20171208,IDT
554,20160617,18.65,17,18.65,20160219,DVN
555,20160212,21.76,20,28.9,20150925,HQH
556,20170804,28.0,13,45.2,20161118,VRTV
557,20171110,23.65,14,41.95,20170505,VRTV
558,20180209,22.7,13,28.0,20170804,VRTV
559,20141024,45.7,2,45.7,20141010,APH
560,20160408,4.45,8,6.96,20160212,XRM
562,20170317,4.73,20,6.57,20161028,XRM
563,20171117,3.87,15,5.94,20170804,XRM
564,20150717,6.5336,26,10.14,20150116,GRAM
565,20160129,2.2,24,4.26,20150814,GRAM
570,20180126,2.73,11,3.7,20171110,GRAM
572,20150220,30.42,18,30.42,20141017,SNN
573,20160219,12.89,1,65.77,20130503,TEGP
574,20150925,4.79,5,11.22,20160212,LEJU
575,20160212,3.39,25,5.25,20150821,LEJU
576,20170728,1.43,4,3.76,20160902,LEJU
577,20171222,1.42,25,1.84,20170630,LEJU
578,20180209,1.39,22,1.47,20170908,LEJU
579,20180209,1.97,8,9.71,20130405,NAT
580,20160212,86.94,1,138.87,20150206,RL
