,date of low,low,number of weeks since drop,original closing price,original date,ticker
0,20130426,42.74,1,42.74,20130419,BMI
1,20161021,31.64,5,32.89,20160916,BMI
2,20140411,7.01,6,43.8,20171020,VLRS
3,20140516,7.81,11,9.28,20140228,VLRS
4,20160212,10.14,4,15.41,20161111,PRO
5,20160408,10.94,12,15.39,20160115,PRO
6,20141205,2.71,1,27.89,20150807,PGH
7,20150529,2.67,26,3.36,20141128,PGH
8,20150911,0.975,7,2.71,20141205,PGH
9,20160115,0.5405,25,1.66,20150724,PGH
14,20170505,0.85,26,1.32,20161104,PGH
15,20160916,6.54,1,62.04,20130517,MLP
16,20161118,6.49,10,6.49,20160909,MLP
17,20180209,11.8,26,14.15,20170811,MLP
18,20141212,18.44,4,25.87,20141010,W
19,20150130,19.56,11,21.57,20141114,W
20,20151113,35.21,10,35.21,20150904,W
21,20160212,35.91,13,36.52,20151113,W
22,20130830,29.64,4,38.99,20160812,POT
23,20140221,15.0,6,28.91,20130802,NRP
24,20150619,3.86,8,16.6,20140110,NRP
25,20151218,1.05,8,5.26,20150424,NRP
26,20160115,0.86,12,1.95,20151023,NRP
29,20160212,1.04,4,1.19,20151211,NRP
30,20160324,0.86,10,0.86,20160115,NRP
31,20160219,11.45,6,19.94,20160812,RDC
32,20160318,14.34,10,14.34,20160108,RDC
33,20151218,16.28,7,161.62,20151113,BGG
34,20160115,15.81,11,17.77,20151030,BGG
35,20161104,18.54,11,19.1,20160819,BGG
36,20151113,56.94,14,100.38,20150807,MNK
37,20160318,54.62,25,68.45,20150925,MNK
39,20161230,49.82,6,54.62,20160318,MNK
40,20171124,21.22,2,54.59,20161118,MNK
41,20130517,2.91,12,21.76,20171110,SBGL
42,20130705,2.82,11,5.86,20130222,SBGL
45,20131108,2.98,20,2.98,20130621,SBGL
46,20150814,4.41,23,8.55,20150306,SBGL
47,20160324,5.41,20,5.41,20151106,SBGL
48,20161216,6.61,5,11.32,20161007,SBGL
49,20170707,4.53,7,9.44,20161111,SBGL
50,20171013,4.78,21,5.51,20170519,SBGL
51,20160603,10.01,20,10.01,20160115,RMP
52,20160324,1.57,11,18.47,20170623,NNA
53,20160708,1.51,26,2.48,20160108,NNA
56,20180126,13.85,20,13.85,20170908,NCS
57,20170804,14.33,23,14.33,20170224,AZRE
58,20160311,15.99,1,41.5,20160212,HIFR
59,20170714,7.75,18,16.7,20160304,SFS
60,20171027,6.1,19,11.05,20170310,SFS
61,20171215,8.45,26,9.1,20170616,SFS
62,20170811,50.6,9,107.99,20150724,DST
63,20160212,4.1,10,60.63,20170609,GER
65,20160520,5.31,23,5.31,20151211,GER
66,20160115,2.96,10,21.66,20130301,TWI
68,20160617,3.21,23,3.21,20160108,TWI
69,20180119,9.24,23,9.24,20170811,TWI
70,20150313,21.82,13,26.19,20141128,CPG
71,20160115,9.14,21,18.81,20141212,CPG
73,20170804,6.81,9,9.74,20160108,ZYME
74,20171117,7.6,24,10.48,20170602,ZYME
75,20140207,1.18,15,29.13,20150306,XNY
76,20140425,1.07,26,1.43,20131025,XNY
77,20140321,16.94,4,35.04,20140912,EMD
78,20150717,8.71,21,11.8399,20140221,I
79,20160226,1.69,12,13.19,20150220,I
82,20160304,1.99,1,3.01,20160115,I
83,20160805,1.69,23,1.69,20160226,I
84,20161202,2.3,23,2.3,20160624,I
85,20170428,2.95,8,3.32,20161209,I
86,20170512,2.97,2,3.92,20170303,I
87,20180209,2.58,15,2.95,20170428,I
89,20151218,3.45,5,7.07,20150116,HBM
90,20160122,1.85,10,3.94,20151113,HBM
92,20160304,2.03,7,2.03,20160115,HBM
93,20160923,3.71,20,4.085,20160506,HBM
94,20151113,7.08,3,15.77,20150220,EROS
95,20160108,6.92,11,14.65,20151023,EROS
99,20170818,7.2,3,7.24,20160205,EROS
102,20150529,4.12,5,7.25,20170811,HGT
103,20150821,2.64,17,4.89,20150424,HGT
104,20160122,1.31,26,2.68,20150724,HGT
105,20160408,1.32,18,2.16,20151204,HGT
106,20160122,1.31,1,1.68,20151211,HGT
107,20180209,0.736,2,1.44,20160115,HGT
108,20160212,15.61,19,19.34,20151002,MSGN
109,20151113,30.63,2,37.54,20140509,GNC
110,20160429,24.36,26,29.75,20151030,GNC
112,20161028,13.48,26,24.36,20160429,GNC
113,20170127,8.83,26,20.41,20160729,GNC
114,20170407,6.65,23,13.48,20161028,GNC
116,20171110,5.83,2,9.47,20170120,GNC
117,20180105,3.57,10,6.88,20171027,GNC
118,20141226,1.54,12,3.72,20171222,DRD
119,20150320,1.58,24,3.03,20141003,DRD
120,20150807,1.12,22,1.77,20150306,DRD
121,20170512,3.79,26,3.93,20161111,DRD
122,20170526,16.41,11,38.43,20161118,ARA
123,20171110,10.85,4,17.39,20170310,ARA
124,20160129,43.25,3,48.82,20160108,AN
125,20160219,23.24,2,23.24,20160205,NEWR
126,20160205,9.76,3,10.39,20160115,AHP
127,20170818,9.27,24,10.95,20170303,AHP
128,20160205,26.24,25,42.27,20150814,ZNH
130,20151002,17.27,21,20.3,20150508,WLKP
131,20131122,2.29,25,3.0,20130531,MTL
132,20140314,1.72,17,2.32,20131115,MTL
133,20141212,0.5415,11,0.67,20140926,MTL
136,20150821,0.7323,22,1.15,20150320,MTL
137,20160108,0.7804,17,0.91,20150911,MTL
138,20160805,1.46,1,1.46,20160729,MTL
139,20170616,4.25,14,4.36,20170310,MTL
140,20141212,27.61,2,41.77,20141128,WLL
142,20150821,15.84,21,30.5,20150327,WLL
143,20160212,4.5,25,15.84,20150821,WLL
144,20160226,3.88,24,15.87,20150911,WLL
151,20160916,7.04,12,9.65,20160624,WLL
152,20170825,4.41,24,9.15,20170310,WLL
153,20150605,3.2,25,7.37,20141212,BTU
154,20150807,1.05,22,6.4,20150306,BTU
158,20150925,1.22,2,1.65,20150911,BTU
159,20150925,1.41,1,1.41,20150918,BTU
160,20151002,1.22,1,1.22,20150925,BTU
161,20160219,2.04,16,12.79,20151030,BTU
166,20160413,2.07,9,2.43,20160212,BTU
167,20160226,2.04,1,2.04,20160219,BTU
168,20160413,2.07,4,2.5,20160318,BTU
169,20170512,9.13,1,9.13,20170505,RGS
170,20141219,13.59,1,13.59,20141212,SFL
171,20160122,4.22,23,7.76,20150814,KRO
172,20160708,49.71,22,57.82,20160205,LXFT
173,20171027,45.05,11,45.7,20170811,LXFT
174,20161111,15.6,1,15.6,20161104,HZO
175,20170728,14.65,1,14.65,20170721,HZO
176,20141017,45.05,1,45.05,20141010,SUN
177,20140606,25.05,1,25.05,20140530,DSW
178,20150402,3.88,11,5.27,20150116,MFCB
179,20150717,3.84,25,4.36,20150123,MFCB
180,20151218,1.61,1,1.61,20151211,MFCB
181,20170421,1.55,22,1.76,20161118,MFCB
182,20180216,6.17,2,6.415,20180202,MFCB
183,20151218,4.72,21,22.87,20141128,HLX
184,20160122,3.54,26,8.86,20150724,HLX
185,20160212,2.63,20,5.84,20150821,HLX
188,20160219,2.82,1,3.71,20160115,HLX
189,20160805,2.63,25,2.63,20160212,HLX
190,20161028,7.29,25,7.29,20160506,HLX
191,20160212,2.79,9,9.06,20130503,TOO
195,20160226,2.88,2,3.52,20160115,TOO
196,20160805,2.79,25,2.79,20160212,TOO
197,20170616,1.96,4,5.13,20161104,TOO
199,20170623,2.15,1,2.59,20170609,TOO
200,20171208,1.96,25,1.96,20170616,TOO
201,20160212,11.92,19,20.82,20150904,TDOC
202,20160324,9.94,20,18.24,20151002,TDOC
203,20160520,9.77,11,15.61,20151106,TDOC
204,20160115,8.01,15,12.21,20160304,SPXC
205,20160324,12.21,25,12.21,20151002,SPXC
206,20160219,20.77,1,28.06,20160115,WGP
207,20160805,20.61,25,20.61,20160212,WGP
208,20141107,18.51,4,29.45,20170818,P
209,20151030,11.51,1,20.92,20141010,P
210,20160212,8.0,16,12.39,20151023,P
211,20160408,8.25,13,10.74,20160108,P
212,20171110,4.57,21,6.99,20170616,P
213,20180126,4.32,12,5.59,20171103,P
214,20140411,14.85,4,74.51,20130802,DL
215,20140509,14.98,8,19.73,20140314,DL
216,20150821,9.59,13,16.3,20150522,DL
217,20160610,9.3,2,9.59,20150821,DL
218,20160708,10.31,6,10.31,20160527,DL
219,20141128,19.64,4,23.57,20150925,GG
220,20151106,11.55,1,18.78,20141031,GG
221,20160122,10.14,12,12.82,20151030,GG
222,20160226,10.32,6,10.32,20160115,GG
223,20130524,10.18,1,12.35,20160212,SA
224,20140404,7.2,2,9.3,20130517,SA
225,20141107,6.72,1,8.01,20140321,SA
226,20150731,4.04,1,6.4,20141031,SA
227,20150904,3.55,6,3.55,20150724,SA
228,20160226,6.78,6,6.78,20160115,SA
229,20161223,7.55,1,9.15,20161111,SA
230,20170127,7.7,6,7.7,20161216,SA
231,20150529,14.65,17,15.25,20150130,GDOT
232,20151120,11.22,4,115.55,20170303,ERA
233,20160212,7.65,16,14.81,20151023,ERA
235,20160212,6.02,10,11.1,20151204,SMM
236,20160219,6.62,1,7.02,20160115,SMM
237,20140103,3.06,4,6.02,20160212,TRQ
238,20140214,3.25,10,3.35,20131206,TRQ
239,20160122,1.78,1,3.42,20140314,TRQ
240,20160226,1.8,6,1.8,20160115,TRQ
241,20141212,13.5,25,23.05,20140620,JMEI
242,20150213,12.67,25,32.18,20140822,JMEI
244,20150911,9.51,3,13.5,20141212,JMEI
245,20160212,5.49,25,11.76,20150821,JMEI
246,20160513,5.29,26,8.12,20151113,JMEI
247,20151211,2.54,4,8.26,20141128,DNR
248,20160219,1.01,14,3.54,20151113,DNR
251,20160212,1.12,4,1.63,20160108,DNR
252,20160219,1.01,1,1.22,20160115,DNR
253,20160324,1.12,6,1.12,20160212,DNR
254,20160401,1.01,6,1.01,20160219,DNR
255,20170324,2.27,4,2.4,20160311,DNR
256,20170825,1.03,26,2.73,20170224,DNR
258,20171027,1.14,10,1.16,20170818,DNR
259,20170602,11.23,2,16.86,20130809,AEO
260,20170623,10.85,5,10.85,20170519,AEO
261,20160108,7.89,3,57.5,20141010,TK
262,20160212,5.87,8,8.8,20151218,TK
263,20160122,6.33,1,7.89,20160108,TK
264,20160219,6.18,5,6.18,20160115,TK
265,20160805,6.12,8,8.66,20160610,TK
266,20170623,6.46,5,6.46,20170519,TK
267,20160122,10.68,24,17.01,20150807,TPC
270,20131115,52.25,3,54.41,20131025,HEI
271,20170505,69.54,2,69.54,20170421,HEI
272,20180202,36.5,16,78.71,20180119,ODC
273,20170113,19.17,1,49.97,20160902,WAAS
274,20170707,14.72,26,20.21,20170106,WAAS
275,20141226,11.45,2,16.99,20150702,IBN
276,20150605,9.55,25,11.58,20141212,IBN
277,20170421,17.53,25,25.91,20161028,UA
278,20171110,11.37,1,18.19,20170203,UA
279,20160115,7.31,6,10.59,20171103,DLNG
281,20160415,7.99,17,7.99,20151218,DLNG
282,20160513,7.31,17,7.31,20160115,DLNG
