,Ticker,Open,Close,Date,Volume
0,SMLP,15.8,12.61,2016-02-26,6890840
1,SMLP,22.32,16.76,2015-09-25,3363534
2,SMLP,29.94,24.21,2015-08-07,1327921
3,SMLP,41.2,33.21,2014-12-12,1544021
4,P,5.59,4.57,2017-11-10,126712248
5,P,7.26,5.59,2017-11-03,100660436
6,P,8.47,6.99,2017-06-16,117737319
7,P,12.7,10.74,2016-01-08,60025099
8,P,19.82,12.39,2015-10-23,83383932
9,P,24.85,20.92,2014-10-10,34234971
10,P,14.59,11.5,2012-03-09,50170600
11,P,11.65,9.9,2011-12-09,7193100
12,P,15.98,13.11,2011-10-07,2937700
13,P,16.43,13.52,2011-08-05,8843900
14,P,18.75,15.09,2011-07-29,5939100
15,NCZ,4.95,3.954,2009-02-20,1713146
16,NCZ,3.63,2.75,2008-11-21,2618684
17,NCZ,4.6,3.85,2008-11-14,2389892
18,NCZ,6.8,4.3,2008-10-10,3956596
19,IGT,27.78,23.5,2017-03-10,3509832
20,IGT,17.89,15.04,2014-01-24,46632400
21,IGT,14.99,11.35,2012-07-27,61998900
22,IGT,10.67,7.69,2008-11-21,26164800
23,IGT,12.98,10.85,2008-10-24,19351100
24,IGT,101.53,25.67,2003-07-03,4178075
25,IGT,47.25,39.05,2001-09-21,12241600
26,VMI,49.86,40.58,2009-01-30,2517100
27,VMI,59.74,45.26,2008-10-24,2278900
28,VMI,84.6,66.93,2008-10-03,3278500
29,VMI,22.47,19.0,2003-10-24,258500
30,AMOV,50.85,27.0,2011-07-01,11220
31,AMOV,35.49,24.4,2008-10-24,54211
32,AMOV,37.15,26.04,2008-10-10,111320
33,AMOV,47.73,39.9,2008-10-03,36030
34,AMOV,59.01,21.01,2005-07-22,35367
35,AMOV,38.0,30.511,2004-01-30,8300
36,AMOV,16.7,14.11,2001-09-07,43700
37,CRL,39.81,32.79,2011-08-05,9539000
38,CRL,35.7,27.0,2008-11-07,13685900
39,CRL,41.86,32.12,2008-10-24,9797400
40,CRL,53.15,44.42,2008-10-10,5645600
41,CRL,47.13,39.42,2006-05-12,7763800
42,CRL,34.0,26.81,2000-10-06,344700
43,HRG,9.19,7.52,2012-12-14,11368300
44,HRG,7.35,6.12,2005-11-18,89500
45,HRG,8.0,6.7,2005-05-20,105400
46,HRG,70.62,9.31,2005-04-08,51275
47,HRG,2.06,1.69,2001-01-26,183000
48,BA,51.77,41.8,2008-10-10,67810200
49,BA,35.65,30.1,2001-09-21,78781400
50,BA,64.2,53.75,2001-03-16,31643800
51,USB,13.59,8.82,2009-03-06,308334900
52,USB,16.31,12.4,2009-02-13,180400700
53,USB,17.28,14.64,2009-01-23,260951900
54,USB,22.6,18.32,2009-01-16,143901100
55,USB,22.17,18.44,2001-10-05,35845600
56,USB,28.65,23.78,2001-03-02,22807800
57,USB,23.69,19.81,2000-06-16,18236800
58,CI,18.96,15.76,2009-02-27,40682400
59,CI,12.8,8.82,2008-11-21,43942600
60,CI,16.34,12.95,2008-11-14,28384000
61,CI,23.43,16.3,2008-10-31,89635900
62,CI,33.46,22.26,2008-10-10,24931500
63,CI,168.5,54.9,2007-06-08,9792333
64,CI,62.8,39.39,2002-10-25,41594700
65,CI,106.5,89.5,2001-05-04,15890000
66,ORAN,28.06,23.82,2008-10-24,3117632
67,ORAN,10.08,8.26,2002-09-20,543300
68,ORAN,15.71,11.7,2002-06-21,1468200
69,ORAN,25.57,21.09,2002-05-03,754900
70,ORAN,76.25,60.5,2001-02-16,363800
71,ORAN,172.8,140.1,2000-04-14,183000
72,RQI,9.67,8.19,2011-08-05,3599818
73,RQI,2.27,1.65,2009-03-06,1248787
74,RQI,3.21,2.4466,2009-02-20,986790
75,RQI,4.53,2.24,2008-11-21,2170557
76,RQI,6.61,4.6,2008-11-14,952448
77,RQI,11.01,5.38,2008-10-10,2972591
78,SWK,26.3,21.0,2003-04-11,14370600
79,SWK,39.8,33.4,2001-09-21,2631700
80,MUH,10.17,8.6,2008-11-21,291791
81,MUH,10.54,7.6599,2008-10-10,341490
82,IRL,7.53,6.24,2010-05-07,279842
83,IRL,5.62,4.74,2008-11-21,184797
84,IRL,9.06,5.6,2008-11-14,227534
85,IRL,10.41,7.2,2008-10-10,315873
86,IRL,36.8,30.98,2007-01-05,353600
87,NAZ,11.63,9.2,2008-10-10,77318
88,LFC,77.5,23.85,2015-05-29,2226247
89,LFC,47.48,37.68,2008-10-24,11187910
90,LFC,128.8,50.51,2006-12-29,7463500
91,SFL,16.67,13.59,2014-12-12,8732179
92,SFL,14.34,10.0,2011-11-25,5595500
93,SFL,16.17,12.38,2011-08-05,4246900
94,SFL,8.42,4.8,2009-03-06,8877400
95,SFL,10.87,9.14,2009-02-20,3035300
96,SFL,11.99,9.89,2008-12-05,5757000
97,SFL,12.47,9.01,2008-11-21,3355000
98,SFL,14.55,11.65,2008-10-24,3820600
99,SFL,17.29,12.3,2008-10-10,5068800
100,SFL,22.45,17.93,2008-10-03,3180000
101,MYC,10.6,7.45,2008-10-10,360746
102,BX,16.98,13.6,2011-08-05,41145635
103,BX,15.94,13.42,2009-10-30,25585626
104,BX,10.71,8.73,2009-07-10,14090655
105,BX,4.74,3.96,2009-02-20,8250588
106,BX,7.26,5.2,2009-01-16,9613912
107,BX,6.54,4.65,2008-11-21,11667014
108,BX,9.17,7.51,2008-11-07,11946774
109,BX,11.17,7.89,2008-10-24,12183272
110,BX,14.56,7.99,2008-10-10,20150248
111,BX,35.5,29.27,2007-06-29,99606727
112,HPE,17.98,14.31,2017-09-01,53299901
113,ITT,44.27,18.0,2011-10-14,11923200
114,ITT,106.8,52.66,2006-02-24,3221300
115,ITT,27.38,23.25,2000-02-25,1753700
116,ATGE,25.02,21.19,2016-01-08,4682680
117,ATGE,32.92,27.61,2013-04-26,9167996
118,ATGE,27.54,19.79,2012-07-27,18965312
119,ATGE,56.46,44.49,2011-08-12,10555190
120,ATGE,50.88,41.72,2010-10-15,10289752
121,ATGE,19.9,14.5,2004-10-22,15493900
122,ATGE,18.05,13.65,2002-10-04,7759500
123,ATGE,28.35,23.5,2001-11-16,4631700
124,ATGE,39.94,30.5,2000-12-01,3993900
125,PCG,52.93,44.57,2017-12-22,76808437
126,PCG,68.9,57.72,2017-10-13,49096540
127,PCG,37.4,29.7,2008-10-10,24541400
128,PCG,12.25,8.81,2002-08-02,33206900
129,PCG,11.1,7.2,2001-04-06,16090200
130,PCG,14.35,11.42,2001-03-16,10564000
131,PCG,11.56,9.75,2001-01-19,33543300
132,PCG,19.63,12.63,2001-01-05,40297100
133,PCG,24.06,20.06,2000-12-22,26022500
134,OFC,31.16,26.13,2011-08-05,7913500
135,OFC,39.71,32.78,2008-10-03,3942600
136,SNY,32.99,28.01,2009-06-26,29572192
137,SNY,32.37,26.36,2008-10-10,14543456
138,NXJ,10.53,8.1,2008-10-10,160233
139,CEA,44.67,37.4999,2018-02-09,236663
140,CEA,35.61,28.59,2015-08-21,395689
141,CEA,57.97,28.83,2010-08-13,104250
142,CEA,16.08,10.71,2008-10-24,454267
143,CEA,16.7,14.0,2008-10-10,372964
144,CEA,62.68,52.7,2008-03-07,85899
145,CEA,101.26,85.0,2007-11-09,168130
146,CEA,120.0,101.92,2007-09-28,1190100
147,CEA,34.19,28.89,2007-01-26,412100
148,CEA,12.2,8.75,2001-09-21,78300
149,CEA,14.63,12.38,2000-10-13,23300
150,CEA,11.94,10.13,2000-05-26,35900
151,PAH,7.03,5.95,2016-02-12,35773000
152,PAH,9.55,7.84,2016-01-15,30385900
153,PAH,12.35,9.43,2016-01-08,18573000
154,PAH,16.73,14.03,2015-09-25,16275700
155,PAI,11.03,8.915,2008-10-10,151980
156,CPN,15.2,12.35,2016-02-12,39170591
157,CPN,9.69,7.97,2009-04-24,26918900
158,CPN,8.89,6.8,2008-11-21,19248800
159,CPN,10.37,8.72,2008-11-14,9466200
160,CPN,11.87,9.49,2008-11-07,12757300
161,CPN,13.24,10.96,2008-10-03,22932700
162,CPN,19.0,16.0,2008-01-18,7281400
163,XL,3.99,3.38,2009-02-20,47019400
164,XL,4.3,3.18,2009-01-16,42294800
165,XL,6.51,2.68,2008-12-12,139959500
166,XL,6.05,4.64,2008-11-21,38868700
167,XL,8.52,6.14,2008-11-14,25969800
168,XL,10.02,8.42,2008-11-07,25083100
169,XL,9.86,7.21,2008-10-24,36411500
170,XL,14.76,5.43,2008-10-10,94872200
171,XL,19.99,16.25,2008-07-11,27990600
172,XL,23.75,19.87,2008-07-03,21134300
173,XL,28.1,23.77,2008-06-27,20268700
174,XL,50.35,39.52,2008-01-18,22010200
175,XL,62.81,52.99,2007-11-23,17771600
176,XL,74.5,62.0,2001-09-21,20221100
177,ITG,23.7,19.2,2017-11-03,2945907
178,ITG,15.59,13.14,2015-09-11,3173137
179,ITG,20.27,16.96,2015-08-07,4273337
180,ITG,13.66,11.0,2011-07-15,7502200
181,ITG,27.73,22.37,2009-04-09,6726800
182,ITG,24.72,20.97,2009-01-16,4627900
183,ITG,20.19,16.6,2008-11-14,3647900
184,ITG,24.61,20.79,2008-10-24,2943700
185,ITG,16.18,13.18,2003-02-14,7025000
186,ITG,22.4,17.58,2003-01-24,4041800
187,ITG,29.9,24.0,2002-12-06,5732300
188,ITG,33.25,26.69,2002-11-08,5021700
189,ITG,34.69,29.38,2000-04-14,765134
190,TEF,71.88,24.87,2011-01-21,6093352
191,TEF,67.51,57.14,2010-05-07,6677670
192,TEF,63.28,50.93,2008-10-24,4350101
193,TEF,68.22,56.21,2008-10-10,3338690
194,TPR,47.91,40.38,2017-08-18,43348324
195,TPR,61.6,51.21,2013-01-25,82966200
196,TPR,62.1,52.66,2012-08-03,67916300
197,TPR,54.81,45.96,2011-08-19,31095800
198,TPR,17.0,14.4,2009-01-23,47806900
199,TPR,21.85,18.11,2009-01-09,45333300
200,TPR,20.55,17.18,2008-11-07,35495200
201,TPR,25.81,21.55,2008-10-03,41463100
202,TPR,55.68,27.85,2005-04-08,8944600
203,TPR,54.32,29.3,2003-10-03,5211050
204,TPR,54.89,25.81,2002-07-05,1768400
205,TPR,33.01,27.92,2001-03-02,731900
206,TPR,25.38,21.06,2000-12-15,343300
207,PXD,160.78,135.34,2017-08-04,29590854
208,PXD,174.91,143.23,2014-11-28,11403370
209,PXD,94.62,78.58,2011-08-05,14167200
210,PXD,19.14,16.11,2009-01-16,17039700
211,PXD,19.73,15.96,2008-12-05,13971200
212,PXD,22.17,18.17,2008-11-21,14792200
213,PXD,31.23,24.34,2008-10-24,19924300
214,PXD,44.37,30.2,2008-10-10,17738400
215,PXD,54.51,45.69,2008-10-03,13580200
216,PXD,47.93,40.38,2008-01-18,15468600
217,PXD,17.35,14.23,2001-09-28,4710300
218,GHL,53.48,45.28,2013-04-19,2499100
219,GHL,66.0,55.73,2008-10-24,898800
220,QHC,5.55,4.12,2017-11-03,1362327
221,QHC,3.82,3.22,2017-07-28,1138316
