,ticker,date,week number,open,close,original date,original close,volume
0,TOWR,20160506,1,23.13,22.63,20160429,22.95,1422085
1,TOWR,20160513,2,22.66,21.26,20160429,22.95,1525479
2,TOWR,20160520,3,21.38,20.37,20160429,22.95,1755180
3,TOWR,20160527,4,20.26,21.29,20160429,22.95,1224890
4,TOWR,20160603,5,21.4,21.42,20160429,22.95,982451
5,TOWR,20160610,6,21.51,21.15,20160429,22.95,1174883
6,TOWR,20160617,7,20.88,21.62,20160429,22.95,1338631
7,TOWR,20160624,8,22.0,20.7,20160429,22.95,1715382
8,TOWR,20160701,9,20.49,21.12,20160429,22.95,1438237
9,TOWR,20160708,10,20.95,20.9,20160429,22.95,933514
10,TOWR,20160715,11,21.08,21.87,20160429,22.95,1115005
11,TOWR,20160722,12,21.86,22.27,20160429,22.95,959840
12,TOWR,20160729,13,21.98,23.08,20160429,22.95,2215965
13,TOWR,20160805,14,23.0,22.37,20160429,22.95,900702
14,TOWR,20160812,15,22.26,22.71,20160429,22.95,1130047
15,TOWR,20160819,16,22.86,23.26,20160429,22.95,605761
16,TOWR,20160826,17,23.11,24.03,20160429,22.95,615371
17,TOWR,20160902,18,23.99,24.4,20160429,22.95,542240
18,TOWR,20160909,19,24.56,23.25,20160429,22.95,482328
19,TOWR,20160916,20,23.01,23.65,20160429,22.95,884039
20,TOWR,20160923,21,23.83,24.04,20160429,22.95,566568
21,TOWR,20160930,22,23.47,24.1,20160429,22.95,579063
22,TOWR,20161007,23,24.11,23.69,20160429,22.95,637448
23,TOWR,20161014,24,23.8,22.84,20160429,22.95,488285
24,TOWR,20161021,25,22.95,22.35,20160429,22.95,685529
25,TOWR,20161028,26,22.6,21.15,20160429,22.95,930437
26,MATX,20160513,1,32.85,31.21,20160506,32.76,1351440
27,MATX,20160520,2,31.2,31.79,20160506,32.76,1403642
28,MATX,20160527,3,31.69,33.06,20160506,32.76,1212975
29,MATX,20160603,4,33.16,32.98,20160506,32.76,1201196
30,MATX,20160610,5,32.95,33.28,20160506,32.76,2007494
31,MATX,20160617,6,33.23,32.96,20160506,32.76,1108131
32,MATX,20160624,7,33.27,33.1,20160506,32.76,1468252
33,MATX,20160701,8,32.63,33.38,20160506,32.76,1664829
34,MATX,20160708,9,33.35,33.76,20160506,32.76,815202
35,MATX,20160715,10,33.78,35.01,20160506,32.76,1355666
36,MATX,20160722,11,34.88,36.51,20160506,32.76,1275258
37,MATX,20160729,12,36.36,37.37,20160506,32.76,865144
38,MATX,20160805,13,37.33,36.35,20160506,32.76,1737287
39,MATX,20160812,14,36.44,36.55,20160506,32.76,855386
40,MATX,20160819,15,36.65,36.42,20160506,32.76,682621
41,MATX,20160826,16,36.28,36.37,20160506,32.76,687933
42,MATX,20160902,17,36.61,42.04,20160506,32.76,1998649
43,MATX,20160909,18,41.97,38.19,20160506,32.76,1464466
44,MATX,20160916,19,38.19,37.88,20160506,32.76,1617583
45,MATX,20160923,20,38.21,40.06,20160506,32.76,885116
46,MATX,20160930,21,39.81,39.88,20160506,32.76,971843
47,MATX,20161007,22,39.65,39.81,20160506,32.76,1184377
48,MATX,20161014,23,39.85,40.07,20160506,32.76,845163
49,MATX,20161021,24,40.02,40.63,20160506,32.76,444599
50,MATX,20161028,25,40.81,39.35,20160506,32.76,644412
51,MATX,20161104,26,39.35,39.8,20160506,32.76,898194
52,MATX,20170825,1,23.61,24.19,20170818,22.79,2414616
53,MATX,20170901,2,24.36,26.08,20170818,22.79,1752530
54,MATX,20170908,3,26.0,26.04,20170818,22.79,813506
55,MATX,20170915,4,26.22,25.99,20170818,22.79,1636566
56,MATX,20170922,5,26.04,26.35,20170818,22.79,1981820
57,MATX,20170929,6,26.35,28.18,20170818,22.79,1451751
58,MATX,20171006,7,28.3,27.71,20170818,22.79,1194296
59,MATX,20171013,8,27.72,27.64,20170818,22.79,815037
60,MATX,20171020,9,27.94,27.31,20170818,22.79,819583
61,MATX,20171027,10,27.23,27.64,20170818,22.79,773785
62,MATX,20171103,11,27.56,28.9,20170818,22.79,1482916
63,MATX,20171110,12,29.27,27.47,20170818,22.79,1794116
64,MATX,20171117,13,27.31,27.44,20170818,22.79,1638944
65,MATX,20171124,14,27.67,28.06,20170818,22.79,539002
66,MATX,20171201,15,28.01,29.15,20170818,22.79,1006754
67,MATX,20171208,16,29.56,28.52,20170818,22.79,1056311
68,MATX,20171215,17,28.48,28.81,20170818,22.79,1559275
69,MATX,20171222,18,29.39,30.33,20170818,22.79,856118
70,MATX,20171229,19,30.32,29.84,20170818,22.79,579150
71,MATX,20180105,20,30.1,29.44,20170818,22.79,904717
72,MATX,20180112,21,29.54,31.7,20170818,22.79,895768
73,MATX,20180119,22,31.86,30.92,20170818,22.79,579042
74,MATX,20180126,23,30.99,31.2,20170818,22.79,891499
75,MATX,20180202,24,34.14,34.41,20170818,22.79,3303033
76,MATX,20180209,25,34.32,34.42,20170818,22.79,1726132
77,MATX,20180216,26,34.54,34.9,20170818,22.79,1265574
78,IVC,20140801,1,14.99,14.67,20140725,15.0,1613100
79,IVC,20140808,2,14.71,14.8,20140725,15.0,748500
80,IVC,20140815,3,14.93,15.34,20140725,15.0,625800
81,IVC,20140822,4,15.49,15.32,20140725,15.0,696600
82,IVC,20140829,5,15.35,15.34,20140725,15.0,683500
83,IVC,20140905,6,15.35,13.8,20140725,15.0,811400
84,IVC,20140912,7,13.83,13.34,20140725,15.0,549500
85,IVC,20140919,8,13.35,13.03,20140725,15.0,726600
86,IVC,20140926,9,12.97,12.51,20140725,15.0,729968
87,IVC,20141003,10,12.33,12.26,20140725,15.0,927665
88,IVC,20141010,11,12.25,12.55,20140725,15.0,870348
89,IVC,20141017,12,12.55,12.6,20140725,15.0,944019
90,IVC,20141024,13,12.61,15.04,20140725,15.0,1093798
91,IVC,20141031,14,14.85,15.71,20140725,15.0,1307002
92,IVC,20141107,15,15.75,15.8,20140725,15.0,741792
93,IVC,20141114,16,15.77,16.44,20140725,15.0,650535
94,IVC,20141121,17,16.39,15.29,20140725,15.0,640551
95,IVC,20141128,18,15.26,15.13,20140725,15.0,461125
96,IVC,20141205,19,15.01,16.09,20140725,15.0,574092
97,IVC,20141212,20,16.12,16.5,20140725,15.0,736761
98,IVC,20141219,21,16.53,16.62,20140725,15.0,963743
99,IVC,20141226,22,16.99,16.73,20140725,15.0,389431
100,IVC,20150102,23,16.73,16.31,20140725,15.0,338390
101,IVC,20150109,24,16.25,16.1,20140725,15.0,675057
102,IVC,20150116,25,16.08,15.0,20140725,15.0,581674
103,IVC,20150123,26,14.95,14.73,20140725,15.0,889425
104,IVC,20150731,1,17.56,17.05,20150724,17.69,866732
