,date of low,low,number of weeks since drop,original closing price,original date,ticker
261,20150320,3.76,15,6.24,20141205,ROYT
262,20160122,0.86,22,2.21,20150821,ROYT
265,20160212,0.92,4,1.0,20160115,ROYT
266,20160205,0.86,2,0.86,20160122,ROYT
267,20161223,1.0016,21,1.64,20160729,ROYT
269,20161223,1.06,2,1.06,20161209,ROYT
270,20170825,1.47,24,1.5701,20170310,ROYT
271,20160401,35.49,2,35.49,20160318,SOR
272,20150130,10.81,7,14.17,20141212,MRC
273,20130419,26.83,7,30.15,20130301,GVA
274,20150717,3.84,26,5.27,20150116,MFCB
275,20150724,3.5,26,4.36,20150123,MFCB
276,20151224,1.61,2,1.61,20151211,MFCB
277,20170421,1.55,22,1.76,20161118,MFCB
278,20180220,5.8483,3,6.415,20180202,MFCB
279,20160115,7.23,23,18.65,20160219,BOOT
280,20160129,6.08,18,26.43,20150807,BOOT
284,20160513,6.45,5,7.23,20160115,BOOT
285,20170609,6.57,1,6.75,20160408,BOOT
286,20171124,5.98,25,5.98,20170602,BOOT
287,20130705,12.51,2,40.64,20160205,ACRE
288,20130823,12.46,9,13.08,20130621,ACRE
289,20150410,63.42,8,63.42,20150213,OA
290,20161014,73.53,9,73.63,20160812,OA
291,20130726,16.9,4,99.9,20150702,MG
292,20141024,15.99,2,17.58,20130628,MG
293,20150904,13.82,4,16.81,20141010,MG
294,20151002,15.07,8,15.07,20150807,MG
295,20170303,10.87,4,40.98,20130802,CCJ
296,20141121,3.65,6,10.67,20170203,SALT
297,20150130,1.49,16,4.77,20141010,SALT
298,20150612,1.65,26,2.05,20141212,SALT
299,20150327,1.49,8,1.49,20150130,SALT
300,20151218,0.6199,4,1.65,20150612,SALT
301,20151224,0.7398,1,0.8381,20151120,SALT
302,20160212,0.6199,8,0.6199,20151218,SALT
303,20160212,1.97,4,4.89,20160108,SALT
305,20160219,2.05,1,2.75,20160205,SALT
306,20160408,1.97,8,1.97,20160212,SALT
307,20160624,2.85,14,2.99,20160318,SALT
308,20160812,2.96,8,2.96,20160617,SALT
309,20140131,23.19,1,43.37,20130208,UFI
310,20140926,19.98,6,21.75,20140124,SEAS
311,20141212,15.77,17,18.66,20140815,SEAS
312,20130705,3.0,7,26.77,20171103,EXK
313,20131220,3.2,14,3.85,20130517,EXK
315,20141226,2.17,8,4.0,20131101,EXK
316,20150313,1.69,19,3.04,20141031,EXK
317,20150731,1.37,21,1.96,20150306,EXK
318,20160122,1.08,1,1.69,20150313,EXK
319,20160520,1.1,18,1.1,20160115,EXK
320,20170324,3.08,24,4.21,20161007,EXK
321,20170505,2.88,25,3.74,20161111,EXK
322,20171103,2.07,13,3.31,20170303,EXK
