,date of low,low,number of weeks since drop,original closing price,original date,ticker
350,20150522,1.91,25,3.72,20141128,PQ
351,20150821,1.15,23,2.02,20150313,PQ
352,20151218,0.33,4,0.8262,20151120,PQ
355,20160115,0.3701,1,0.3701,20160108,PQ
356,20160819,1.9,2,2.0,20160805,PQ
357,20170428,2.35,25,2.88,20161104,PQ
358,20170811,1.74,24,3.88,20170224,PQ
360,20171215,1.58,25,1.77,20170623,PQ
362,20150327,16.21,15,17.4,20141212,ENBL
363,20160226,5.52,7,7.75,20160108,ENBL
364,20141010,7.26,8,10.3,20140815,GTN
365,20160212,10.4,25,11.79,20150821,GTN
367,20161104,8.1,25,11.11,20160513,GTN
368,20141226,22.69,2,22.69,20141212,TDF
369,20160219,6.73,6,10.35,20160108,MRO
371,20141003,42.13,3,43.76,20140912,CPK
372,20140214,7.67,15,9.86,20131101,CALX
373,20160212,5.67,15,6.99,20151030,CALX
375,20170908,4.65,4,5.04,20170811,CALX
376,20160401,35.68,2,99.49,20140124,SOR
377,20130823,14.67,2,35.49,20160318,WD
378,20131011,12.64,9,14.51,20130809,WD
379,20131101,12.96,4,12.96,20131004,WD
