,date of low,low,number of weeks since drop,original closing price,original date,ticker
0,20160527,4.54,2,4.8,20160513,PAR
1,20171124,7.84,2,8.75,20171110,PAR
2,20170331,9.83,4,11.84,20160527,PSTG
3,20140131,4.15,1,9.51,20170303,PAM
5,20150123,5.6,15,21.5,20151127,FMSA
6,20150130,5.19,9,12.3,20141010,FMSA
8,20160108,2.08,15,7.86,20141205,FMSA
9,20160115,1.49,15,2.88,20150925,FMSA
10,20160122,1.47,10,2.55,20151002,FMSA
12,20160513,1.49,17,1.49,20160115,FMSA
13,20160610,1.59,17,1.59,20160212,FMSA
14,20160401,2.44,1,2.58,20160311,FMSA
15,20160722,2.53,17,2.53,20160324,FMSA
16,20170609,4.54,15,6.83,20160715,FMSA
17,20170818,2.57,25,9.93,20170224,FMSA
23,20171117,3.11,17,3.11,20170721,FMSA
24,20150313,5.01,26,16.38,20140912,PBR
26,20150925,4.08,9,6.01,20150130,PBR
27,20160122,3.03,26,6.65,20150724,PBR
28,20161007,20.92,6,27.3,20151218,ZOES
29,20170728,11.07,9,28.37,20160826,ZOES
30,20160115,2.6,5,14.18,20170526,TAC
31,20160408,3.07,17,3.07,20151211,TAC
32,20160513,2.6,17,2.6,20160115,TAC
33,20170707,22.02,2,61.61,20140725,OII
34,20150313,16.39,3,21.03,20170623,EROS
35,20151113,7.08,3,15.77,20150220,EROS
36,20160108,6.92,11,14.65,20151023,EROS
40,20170818,7.2,3,7.24,20160205,EROS
43,20130419,6.5,8,7.25,20170811,GFI
44,20150313,3.69,1,8.72,20130222,GFI
45,20150807,2.48,22,3.83,20150306,GFI
46,20151106,2.42,26,3.71,20150508,GFI
47,20170310,3.01,17,3.39,20161111,GFI
48,20150313,10.8,15,15.78,20141128,ECA
49,20160219,3.13,5,12.19,20141212,ECA
51,20160429,3.54,11,3.54,20160212,ECA
52,20160506,3.13,11,3.13,20160219,ECA
53,20160122,2.27,2,6.23,20160506,VALE
54,20160324,2.6,11,2.6,20160108,VALE
55,20160513,2.71,11,2.71,20160226,VALE
56,20160527,3.83,11,3.83,20160311,VALE
57,20130927,12.47,14,13.08,20130621,ACRE
58,20130705,40.88,11,40.88,20130419,CRM
59,20130621,65.66,8,67.06,20160205,CRR
60,20141114,49.04,8,68.81,20130426,CRR
61,20150320,32.05,26,84.52,20140919,CRR
62,20150327,30.0,17,38.04,20141128,CRR
63,20151023,18.6,26,31.6,20150424,CRR
64,20160212,15.3,25,24.4,20150821,CRR
65,20160513,10.63,8,21.12,20150911,CRR
66,20161104,6.25,1,16.53,20160318,CRR
67,20170113,6.2,11,6.2,20161028,CRR
68,20170623,6.21,15,11.04,20170310,CRR
70,20170901,6.35,18,6.87,20170428,CRR
71,20171229,5.72,9,30.73,20151106,XRF
72,20180117,5.51,12,7.89,20171027,XRF
73,20130830,11.64,5,29.28,20150925,BAS
74,20141128,8.93,8,12.22,20130726,BAS
75,20150116,5.75,15,18.92,20141003,BAS
76,20141212,5.22,2,15.55,20141010,BAS
78,20150313,5.91,14,6.1,20141205,BAS
79,20151002,3.43,6,5.91,20150313,BAS
80,20160115,1.73,21,3.7,20150821,BAS
84,20160708,1.47,26,1.91,20160108,BAS
85,20160902,0.47,23,2.73,20160324,BAS
86,20161028,0.34,25,2.7,20160506,BAS
87,20161118,0.3199,26,2.06,20160520,BAS
95,20170120,0.3899,10,0.3899,20161111,BAS
96,20170127,0.3199,10,0.3199,20161118,BAS
97,20170217,0.42,10,0.42,20161209,BAS
98,20171020,16.52,10,16.52,20170811,BAS
99,20151106,17.09,26,20.3,20150508,WLKP
100,20130830,35.94,4,44.69,20130215,WTW
101,20140321,20.05,5,37.99,20130802,WTW
102,20150320,8.6,11,22.1,20140214,WTW
103,20150702,4.09,26,21.53,20150102,WTW
104,20150710,3.97,19,11.33,20150227,WTW
107,20150731,4.0,3,4.09,20150702,WTW
108,20151009,3.97,13,3.97,20150710,WTW
109,20160226,11.01,5,14.85,20160108,WTW
110,20160722,11.31,26,11.54,20160122,WTW
111,20160826,10.75,26,11.01,20160226,WTW
112,20140516,13.38,13,13.38,20140214,BWP
113,20160122,10.68,24,17.01,20150807,TPC
114,20160212,11.87,3,15.71,20151211,TPC
115,20160422,10.68,13,10.68,20160122,TPC
116,20160513,16.34,13,16.34,20160212,FLOW
117,20150821,24.25,24,24.63,20150306,VEEV
118,20140117,4.88,11,27.85,20160429,XCO
119,20141212,2.24,10,5.56,20131101,XCO
120,20150313,1.54,23,2.96,20141003,XCO
123,20150807,0.57,21,1.54,20150313,XCO
126,20151023,0.6,13,0.6,20150724,XCO
127,20151224,0.8,13,0.8,20150925,XCO
128,20160212,0.9148,15,1.12,20151030,XCO
129,20160520,0.6318,18,0.9133,20160115,XCO
132,20170609,0.33,11,0.7252,20160513,XCO
134,20170714,0.54,13,0.54,20170413,XCO
135,20171201,0.529,22,2.65,20170630,XCO
140,20151106,3.87,2,10.51,20130802,ORN
141,20160219,3.39,17,4.21,20151023,ORN
142,20130215,28.36,1,75.5,20160826,NSP
143,20130412,27.4,9,28.5,20130208,NSP
145,20160212,8.65,4,57.3,20171222,RESI
146,20160715,9.94,26,9.94,20160115,RESI
147,20160513,24.96,1,27.01,20140627,CFX
148,20141024,9.73,2,25.4,20160506,ASC
149,20160205,8.31,24,8.83,20141010,ASC
150,20160701,7.24,24,10.8,20150821,ASC
151,20160708,7.1,22,9.2,20160115,ASC
152,20160805,8.31,26,8.31,20160205,ASC
153,20131108,19.0,26,19.0,20130510,DCO
154,20150925,19.68,19,25.07,20131101,DCO
155,20160115,12.98,9,25.01,20150515,DCO
156,20160513,16.13,26,16.13,20151113,DCO
157,20150123,14.68,11,32.49,20130322,WAC
158,20150313,14.92,2,17.37,20141107,WAC
159,20151113,10.02,18,16.67,20150227,WAC
161,20160304,6.67,18,18.42,20150807,WAC
162,20160701,2.89,24,11.96,20151030,WAC
163,20160805,2.36,22,11.97,20160115,WAC
166,20160826,3.11,3,3.28,20160617,WAC
167,20170324,0.73,14,2.36,20160805,WAC
168,20170818,0.32,22,5.8,20161216,WAC
173,20180117,0.37,9,0.37,20171117,WAC
