,ticker,date,week number,open,close,original date,original close,volume
0,BMI,20130426,1,42.46,43.89,20130419,42.74,632100
1,BMI,20130503,2,44.01,44.08,20130419,42.74,667400
2,BMI,20130510,3,44.23,44.81,20130419,42.74,313900
3,BMI,20130517,4,44.58,44.87,20130419,42.74,454500
4,BMI,20130524,5,44.66,43.89,20130419,42.74,404500
5,BMI,20130531,6,44.59,44.56,20130419,42.74,157600
6,BMI,20130607,7,44.66,44.78,20130419,42.74,271200
7,BMI,20130614,8,44.98,43.25,20130419,42.74,199500
8,BMI,20130621,9,44.11,44.93,20130419,42.74,338600
9,BMI,20130628,10,44.22,44.55,20130419,42.74,294700
10,BMI,20130705,11,44.58,46.71,20130419,42.74,143000
11,BMI,20130712,12,46.89,47.08,20130419,42.74,214500
12,BMI,20130719,13,46.99,48.96,20130419,42.74,292700
13,BMI,20130726,14,49.03,48.18,20130419,42.74,272400
14,BMI,20130802,15,48.17,48.65,20130419,42.74,217600
15,BMI,20130809,16,48.58,49.09,20130419,42.74,134700
16,BMI,20130816,17,48.84,47.52,20130419,42.74,164400
17,BMI,20130823,18,47.3,47.96,20130419,42.74,193500
18,BMI,20130830,19,47.95,45.08,20130419,42.74,114200
19,BMI,20130906,20,45.57,44.99,20130419,42.74,102700
20,BMI,20130913,21,45.14,45.96,20130419,42.74,283300
21,BMI,20130920,22,46.54,46.18,20130419,42.74,456500
22,BMI,20130927,23,46.29,46.65,20130419,42.74,158700
23,BMI,20131004,24,46.15,46.45,20130419,42.74,290400
24,BMI,20131011,25,45.95,47.8,20130419,42.74,163300
25,BMI,20131018,26,47.59,51.97,20130419,42.74,364800
26,BMI,20160923,1,33.13,33.73,20160916,32.89,710151
27,BMI,20160930,2,33.69,33.51,20160916,32.89,552705
28,BMI,20161007,3,33.37,33.23,20160916,32.89,469007
29,BMI,20161014,4,33.32,33.06,20160916,32.89,414271
30,BMI,20161021,5,33.08,31.64,20160916,32.89,1150433
31,BMI,20161028,6,31.88,31.7,20160916,32.89,582696
32,BMI,20161104,7,31.85,32.05,20160916,32.89,779864
33,BMI,20161111,8,32.7,35.7,20160916,32.89,712787
34,BMI,20161118,9,36.0,35.15,20160916,32.89,1059449
35,BMI,20161125,10,35.45,36.3,20160916,32.89,1128979
36,BMI,20161202,11,36.0,35.9,20160916,32.89,883864
37,BMI,20161209,12,36.25,38.5,20160916,32.89,661613
38,BMI,20161216,13,38.4,37.65,20160916,32.89,994348
39,BMI,20161223,14,37.8,38.5,20160916,32.89,401939
40,BMI,20161230,15,38.65,36.95,20160916,32.89,483714
41,BMI,20170106,16,37.2,37.05,20160916,32.89,549512
42,BMI,20170113,17,37.0,38.05,20160916,32.89,875107
43,BMI,20170120,18,37.85,37.65,20160916,32.89,402836
44,BMI,20170127,19,37.65,39.15,20160916,32.89,545613
45,BMI,20170203,20,38.85,39.2,20160916,32.89,684902
