,ticker,date,week number,open,close,original date,original close,volume
0,GNC,20130222,1,41.32,41.91,20130215,40.6,10408200
1,GNC,20130301,2,41.95,41.32,20130215,40.6,12447700
2,GNC,20130308,3,41.0,40.43,20130215,40.6,6831600
3,GNC,20130315,4,40.43,40.88,20130215,40.6,7442400
4,GNC,20130322,5,39.86,38.37,20130215,40.6,10765600
5,GNC,20130328,6,38.42,39.28,20130215,40.6,4872900
6,GNC,20130405,7,38.99,39.6,20130215,40.6,6741000
7,GNC,20130412,8,39.62,43.32,20130215,40.6,9428600
8,GNC,20130419,9,43.33,41.75,20130215,40.6,8868800
9,GNC,20130426,10,41.92,44.85,20130215,40.6,14572400
10,GNC,20130503,11,45.32,45.39,20130215,40.6,7578600
11,GNC,20130510,12,45.27,45.98,20130215,40.6,6693700
12,GNC,20130517,13,45.79,45.63,20130215,40.6,7259500
13,GNC,20130524,14,45.62,45.7,20130215,40.6,5052800
14,GNC,20130531,15,46.31,45.03,20130215,40.6,3720800
15,GNC,20130607,16,44.95,44.8,20130215,40.6,6455000
16,GNC,20130614,17,45.41,46.0,20130215,40.6,4487500
17,GNC,20130621,18,46.25,46.71,20130215,40.6,5540200
18,GNC,20130628,19,46.03,44.21,20130215,40.6,11186700
19,GNC,20130705,20,44.72,46.7,20130215,40.6,5321000
20,GNC,20130712,21,46.82,46.95,20130215,40.6,6007200
21,GNC,20130719,22,47.08,47.42,20130215,40.6,5828100
22,GNC,20130726,23,47.74,52.87,20130215,40.6,10697900
23,GNC,20130802,24,52.72,54.5,20130215,40.6,7260300
24,GNC,20130809,25,54.3,52.56,20130215,40.6,6308200
25,GNC,20130816,26,52.28,51.67,20130215,40.6,3628300
26,GNC,20130802,1,52.72,54.5,20130726,52.87,7260300
27,GNC,20130809,2,54.3,52.56,20130726,52.87,6308200
28,GNC,20130816,3,52.28,51.67,20130726,52.87,3628300
29,GNC,20130823,4,51.49,51.25,20130726,52.87,4012600
30,GNC,20130830,5,51.25,50.87,20130726,52.87,2899800
31,GNC,20130906,6,51.52,52.85,20130726,52.87,3310700
32,GNC,20130913,7,53.06,52.71,20130726,52.87,4822400
33,GNC,20130920,8,53.29,53.32,20130726,52.87,4731400
34,GNC,20130927,9,53.31,54.31,20130726,52.87,4173200
35,GNC,20131004,10,53.71,55.05,20130726,52.87,4185800
36,GNC,20131011,11,54.78,54.98,20130726,52.87,5060700
37,GNC,20131018,12,54.74,55.92,20130726,52.87,6511400
38,GNC,20131025,13,56.37,58.9,20130726,52.87,11955800
39,GNC,20131101,14,58.93,58.98,20130726,52.87,5238300
40,GNC,20131108,15,59.21,57.88,20130726,52.87,4713800
41,GNC,20131115,16,58.0,59.63,20130726,52.87,4531100
42,GNC,20131122,17,60.1,58.83,20130726,52.87,4095000
43,GNC,20131129,18,58.85,60.18,20130726,52.87,2517800
44,GNC,20131206,19,60.51,59.14,20130726,52.87,5439500
45,GNC,20131213,20,59.17,58.05,20130726,52.87,3425500
46,GNC,20131220,21,58.5,57.51,20130726,52.87,5681900
47,GNC,20131227,22,57.6,57.96,20130726,52.87,1467200
48,GNC,20140103,23,58.37,56.7,20130726,52.87,3827500
49,GNC,20140110,24,56.64,55.76,20130726,52.87,8084200
50,GNC,20140117,25,55.68,53.09,20130726,52.87,8076000
51,GNC,20140124,26,53.15,52.24,20130726,52.87,10733600
52,GNC,20150220,1,48.26,48.53,20150213,48.11,3765282
53,GNC,20150227,2,48.52,48.09,20150213,48.11,3600654
54,GNC,20150306,3,47.99,48.29,20150213,48.11,3585348
55,GNC,20150313,4,48.41,45.93,20150213,48.11,11951426
56,GNC,20150320,5,45.86,46.77,20150213,48.11,4174928
57,GNC,20150327,6,46.88,46.04,20150213,48.11,3619346
58,GNC,20150402,7,48.03,48.01,20150213,48.11,5665014
59,GNC,20150410,8,47.34,47.51,20150213,48.11,4388240
60,GNC,20150417,9,47.52,45.27,20150213,48.11,4142137
61,GNC,20150424,10,45.45,47.17,20150213,48.11,5676257
62,GNC,20150501,11,47.66,43.71,20150213,48.11,13780274
63,GNC,20150508,12,43.71,44.3,20150213,48.11,6943022
64,GNC,20150515,13,44.29,44.63,20150213,48.11,4226883
65,GNC,20150522,14,44.79,46.0,20150213,48.11,5424542
66,GNC,20150529,15,45.94,44.54,20150213,48.11,2959381
67,GNC,20150605,16,44.69,44.77,20150213,48.11,3790423
68,GNC,20150612,17,44.7,45.95,20150213,48.11,6571585
69,GNC,20150619,18,45.71,46.16,20150213,48.11,3453971
70,GNC,20150626,19,46.42,45.64,20150213,48.11,4557935
71,GNC,20150702,20,45.05,44.76,20150213,48.11,3538797
72,GNC,20150710,21,44.36,44.16,20150213,48.11,7553891
73,GNC,20150717,22,44.58,44.32,20150213,48.11,6203279
74,GNC,20150724,23,44.34,42.82,20150213,48.11,4913126
75,GNC,20150731,24,42.52,49.21,20150213,48.11,15519543
76,GNC,20150807,25,49.35,50.09,20150213,48.11,10478561
77,GNC,20150814,26,50.5,49.89,20150213,48.11,4561712
78,GNC,20150807,1,49.35,50.09,20150731,49.21,10478561
79,GNC,20150814,2,50.5,49.89,20150731,49.21,4561712
80,GNC,20150821,3,49.55,46.25,20150731,49.21,4478384
81,GNC,20150828,4,43.05,46.33,20150731,49.21,7725616
82,GNC,20150904,5,46.27,46.07,20150731,49.21,5058273
83,GNC,20150911,6,46.84,46.09,20150731,49.21,4038397
84,GNC,20150918,7,46.07,43.16,20150731,49.21,6073569
85,GNC,20150925,8,43.28,41.85,20150731,49.21,5597513
86,GNC,20151002,9,41.59,40.76,20150731,49.21,5507427
87,GNC,20151009,10,40.92,41.96,20150731,49.21,7708806
88,GNC,20151016,11,41.99,40.75,20150731,49.21,5519389
89,GNC,20151023,12,40.66,36.55,20150731,49.21,20235491
90,GNC,20151030,13,36.55,29.75,20150731,49.21,37151570
91,GNC,20151106,14,30.25,32.61,20150731,49.21,14921212
92,GNC,20151113,15,32.48,30.63,20150731,49.21,6842199
93,GNC,20151120,16,30.49,29.08,20150731,49.21,36707475
94,GNC,20151127,17,28.95,30.05,20150731,49.21,3205155
95,GNC,20151204,18,30.25,31.33,20150731,49.21,6160548
96,GNC,20151211,19,31.03,31.0,20150731,49.21,5309995
97,GNC,20151218,20,31.01,30.82,20150731,49.21,5783274
98,GNC,20151224,21,30.81,31.09,20150731,49.21,3481108
99,GNC,20151231,22,31.03,31.02,20150731,49.21,3408165
100,GNC,20160108,23,30.65,32.1,20150731,49.21,11308506
101,GNC,20160115,24,32.15,24.74,20150731,49.21,17253229
102,GNC,20160122,25,24.94,27.23,20150731,49.21,18209131
103,GNC,20160129,26,27.15,28.01,20150731,49.21,9636904
104,GNC,20170303,1,8.56,8.25,20170224,8.63,23319858
105,GNC,20170310,2,8.28,7.51,20170224,8.63,20646164
106,GNC,20170317,3,7.42,7.4,20170224,8.63,17792922
107,GNC,20170324,4,7.38,7.0,20170224,8.63,18323538
108,GNC,20170331,5,6.88,7.36,20170224,8.63,10347834
109,GNC,20170407,6,7.36,6.65,20170224,8.63,17549047
110,GNC,20170413,7,6.6,7.3,20170224,8.63,13167006
111,GNC,20170421,8,7.31,8.24,20170224,8.63,53529990
112,GNC,20170428,9,8.15,7.78,20170224,8.63,18690290
113,GNC,20170505,10,7.77,7.19,20170224,8.63,10372590
114,GNC,20170512,11,7.2,6.72,20170224,8.63,17404113
115,GNC,20170519,12,6.81,7.28,20170224,8.63,13258405
116,GNC,20170526,13,7.6,7.21,20170224,8.63,10595732
117,GNC,20170602,14,7.23,7.58,20170224,8.63,8038008
118,GNC,20170609,15,7.62,7.46,20170224,8.63,12155536
119,GNC,20170616,16,7.53,7.56,20170224,8.63,8226271
120,GNC,20170623,17,7.55,7.54,20170224,8.63,8288502
121,GNC,20170630,18,7.53,8.43,20170224,8.63,8471852
122,GNC,20170707,19,8.5,8.33,20170224,8.63,8530858
123,GNC,20170714,20,8.25,8.04,20170224,8.63,9961115
124,GNC,20170721,21,8.03,8.89,20170224,8.63,14868248
125,GNC,20170728,22,8.99,10.17,20170224,8.63,27161661
126,GNC,20170804,23,9.88,9.99,20170224,8.63,11187793
127,GNC,20170811,24,10.0,9.78,20170224,8.63,9114062
128,GNC,20170818,25,9.79,9.37,20170224,8.63,7309906
129,GNC,20170825,26,9.37,8.45,20170224,8.63,12717636
130,GNC,20170421,1,7.31,8.24,20170413,7.3,53529990
131,GNC,20170428,2,8.15,7.78,20170413,7.3,18690290
132,GNC,20170505,3,7.77,7.19,20170413,7.3,10372590
133,GNC,20170512,4,7.2,6.72,20170413,7.3,17404113
134,GNC,20170519,5,6.81,7.28,20170413,7.3,13258405
135,GNC,20170526,6,7.6,7.21,20170413,7.3,10595732
136,GNC,20170602,7,7.23,7.58,20170413,7.3,8038008
137,GNC,20170609,8,7.62,7.46,20170413,7.3,12155536
138,GNC,20170616,9,7.53,7.56,20170413,7.3,8226271
139,GNC,20170623,10,7.55,7.54,20170413,7.3,8288502
140,GNC,20170630,11,7.53,8.43,20170413,7.3,8471852
141,GNC,20170707,12,8.5,8.33,20170413,7.3,8530858
142,GNC,20170714,13,8.25,8.04,20170413,7.3,9961115
143,GNC,20170721,14,8.03,8.89,20170413,7.3,14868248
144,GNC,20170728,15,8.99,10.17,20170413,7.3,27161661
145,GNC,20170804,16,9.88,9.99,20170413,7.3,11187793
146,GNC,20170811,17,10.0,9.78,20170413,7.3,9114062
147,GNC,20170818,18,9.79,9.37,20170413,7.3,7309906
148,GNC,20170825,19,9.37,8.45,20170413,7.3,12717636
149,GNC,20170901,20,8.52,8.2,20170413,7.3,5911287
150,GNC,20170908,21,8.08,8.75,20170413,7.3,7732974
151,GNC,20170915,22,8.74,10.16,20170413,7.3,12224178
152,GNC,20170922,23,10.11,9.25,20170413,7.3,10503843
153,GNC,20170929,24,9.25,8.84,20170413,7.3,12483541
154,GNC,20171006,25,8.9,8.56,20170413,7.3,6383562
155,GNC,20171013,26,8.61,7.91,20170413,7.3,10969038
156,GNC,20170428,1,8.15,7.78,20170421,8.24,18690290
157,GNC,20170505,2,7.77,7.19,20170421,8.24,10372590
158,GNC,20170512,3,7.2,6.72,20170421,8.24,17404113
159,GNC,20170519,4,6.81,7.28,20170421,8.24,13258405
160,GNC,20170526,5,7.6,7.21,20170421,8.24,10595732
161,GNC,20170602,6,7.23,7.58,20170421,8.24,8038008
162,GNC,20170609,7,7.62,7.46,20170421,8.24,12155536
163,GNC,20170616,8,7.53,7.56,20170421,8.24,8226271
164,GNC,20170623,9,7.55,7.54,20170421,8.24,8288502
165,GNC,20170630,10,7.53,8.43,20170421,8.24,8471852
166,GNC,20170707,11,8.5,8.33,20170421,8.24,8530858
167,GNC,20170714,12,8.25,8.04,20170421,8.24,9961115
168,GNC,20170721,13,8.03,8.89,20170421,8.24,14868248
169,GNC,20170728,14,8.99,10.17,20170421,8.24,27161661
170,GNC,20170804,15,9.88,9.99,20170421,8.24,11187793
171,GNC,20170811,16,10.0,9.78,20170421,8.24,9114062
172,GNC,20170818,17,9.79,9.37,20170421,8.24,7309906
173,GNC,20170825,18,9.37,8.45,20170421,8.24,12717636
174,GNC,20170901,19,8.52,8.2,20170421,8.24,5911287
175,GNC,20170908,20,8.08,8.75,20170421,8.24,7732974
176,GNC,20170915,21,8.74,10.16,20170421,8.24,12224178
177,GNC,20170922,22,10.11,9.25,20170421,8.24,10503843
178,GNC,20170929,23,9.25,8.84,20170421,8.24,12483541
179,GNC,20171006,24,8.9,8.56,20170421,8.24,6383562
180,GNC,20171013,25,8.61,7.91,20170421,8.24,10969038
181,GNC,20171020,26,7.91,8.34,20170421,8.24,8428986
182,GNC,20170707,1,8.5,8.33,20170630,8.43,8530858
183,GNC,20170714,2,8.25,8.04,20170630,8.43,9961115
184,GNC,20170721,3,8.03,8.89,20170630,8.43,14868248
185,GNC,20170728,4,8.99,10.17,20170630,8.43,27161661
186,GNC,20170804,5,9.88,9.99,20170630,8.43,11187793
187,GNC,20170811,6,10.0,9.78,20170630,8.43,9114062
188,GNC,20170818,7,9.79,9.37,20170630,8.43,7309906
189,GNC,20170825,8,9.37,8.45,20170630,8.43,12717636
190,GNC,20170901,9,8.52,8.2,20170630,8.43,5911287
191,GNC,20170908,10,8.08,8.75,20170630,8.43,7732974
192,GNC,20170915,11,8.74,10.16,20170630,8.43,12224178
193,GNC,20170922,12,10.11,9.25,20170630,8.43,10503843
194,GNC,20170929,13,9.25,8.84,20170630,8.43,12483541
195,GNC,20171006,14,8.9,8.56,20170630,8.43,6383562
196,GNC,20171013,15,8.61,7.91,20170630,8.43,10969038
197,GNC,20171020,16,7.91,8.34,20170630,8.43,8428986
198,GNC,20171027,17,8.3,6.88,20170630,8.43,27763151
199,GNC,20171103,18,6.9,6.7,20170630,8.43,10816436
200,GNC,20171110,19,6.65,5.83,20170630,8.43,15749296
201,GNC,20171117,20,5.82,6.85,20170630,8.43,12630462
202,GNC,20171124,21,6.85,5.53,20170630,8.43,16933179
203,GNC,20171201,22,5.6,5.39,20170630,8.43,17476000
204,GNC,20171208,23,5.43,5.27,20170630,8.43,20522073
205,GNC,20171215,24,5.25,4.87,20170630,8.43,19163039
206,GNC,20171222,25,4.87,3.72,20170630,8.43,30834695
207,GNC,20171229,26,3.72,3.69,20170630,8.43,23444466
208,GNC,20170728,1,8.99,10.17,20170721,8.89,27161661
209,GNC,20170804,2,9.88,9.99,20170721,8.89,11187793
210,GNC,20170811,3,10.0,9.78,20170721,8.89,9114062
211,GNC,20170818,4,9.79,9.37,20170721,8.89,7309906
212,GNC,20170825,5,9.37,8.45,20170721,8.89,12717636
213,GNC,20170901,6,8.52,8.2,20170721,8.89,5911287
214,GNC,20170908,7,8.08,8.75,20170721,8.89,7732974
215,GNC,20170915,8,8.74,10.16,20170721,8.89,12224178
216,GNC,20170922,9,10.11,9.25,20170721,8.89,10503843
217,GNC,20170929,10,9.25,8.84,20170721,8.89,12483541
218,GNC,20171006,11,8.9,8.56,20170721,8.89,6383562
219,GNC,20171013,12,8.61,7.91,20170721,8.89,10969038
220,GNC,20171020,13,7.91,8.34,20170721,8.89,8428986
221,GNC,20171027,14,8.3,6.88,20170721,8.89,27763151
222,GNC,20171103,15,6.9,6.7,20170721,8.89,10816436
223,GNC,20171110,16,6.65,5.83,20170721,8.89,15749296
224,GNC,20171117,17,5.82,6.85,20170721,8.89,12630462
225,GNC,20171124,18,6.85,5.53,20170721,8.89,16933179
226,GNC,20171201,19,5.6,5.39,20170721,8.89,17476000
227,GNC,20171208,20,5.43,5.27,20170721,8.89,20522073
228,GNC,20171215,21,5.25,4.87,20170721,8.89,19163039
229,GNC,20171222,22,4.87,3.72,20170721,8.89,30834695
230,GNC,20171229,23,3.72,3.69,20170721,8.89,23444466
231,GNC,20180105,24,3.7,3.57,20170721,8.89,14564388
232,GNC,20180112,25,3.54,3.72,20170721,8.89,14302737
233,GNC,20180119,26,3.73,4.78,20170721,8.89,67388235
234,GNC,20170804,1,9.88,9.99,20170728,10.17,11187793
235,GNC,20170811,2,10.0,9.78,20170728,10.17,9114062
236,GNC,20170818,3,9.79,9.37,20170728,10.17,7309906
237,GNC,20170825,4,9.37,8.45,20170728,10.17,12717636
238,GNC,20170901,5,8.52,8.2,20170728,10.17,5911287
239,GNC,20170908,6,8.08,8.75,20170728,10.17,7732974
240,GNC,20170915,7,8.74,10.16,20170728,10.17,12224178
241,GNC,20170922,8,10.11,9.25,20170728,10.17,10503843
242,GNC,20170929,9,9.25,8.84,20170728,10.17,12483541
243,GNC,20171006,10,8.9,8.56,20170728,10.17,6383562
244,GNC,20171013,11,8.61,7.91,20170728,10.17,10969038
245,GNC,20171020,12,7.91,8.34,20170728,10.17,8428986
246,GNC,20171027,13,8.3,6.88,20170728,10.17,27763151
247,GNC,20171103,14,6.9,6.7,20170728,10.17,10816436
248,GNC,20171110,15,6.65,5.83,20170728,10.17,15749296
249,GNC,20171117,16,5.82,6.85,20170728,10.17,12630462
250,GNC,20171124,17,6.85,5.53,20170728,10.17,16933179
251,GNC,20171201,18,5.6,5.39,20170728,10.17,17476000
252,GNC,20171208,19,5.43,5.27,20170728,10.17,20522073
253,GNC,20171215,20,5.25,4.87,20170728,10.17,19163039
254,GNC,20171222,21,4.87,3.72,20170728,10.17,30834695
255,GNC,20171229,22,3.72,3.69,20170728,10.17,23444466
256,GNC,20180105,23,3.7,3.57,20170728,10.17,14564388
257,GNC,20180112,24,3.54,3.72,20170728,10.17,14302737
258,GNC,20180119,25,3.73,4.78,20170728,10.17,67388235
259,GNC,20180125,26,4.81,4.18,20170728,10.17,22357063
260,GNC,20170922,1,10.11,9.25,20170915,10.16,10503843
261,GNC,20170929,2,9.25,8.84,20170915,10.16,12483541
262,GNC,20171006,3,8.9,8.56,20170915,10.16,6383562
263,GNC,20171013,4,8.61,7.91,20170915,10.16,10969038
264,GNC,20171020,5,7.91,8.34,20170915,10.16,8428986
265,GNC,20171027,6,8.3,6.88,20170915,10.16,27763151
266,GNC,20171103,7,6.9,6.7,20170915,10.16,10816436
267,GNC,20171110,8,6.65,5.83,20170915,10.16,15749296
268,GNC,20171117,9,5.82,6.85,20170915,10.16,12630462
269,GNC,20171124,10,6.85,5.53,20170915,10.16,16933179
270,GNC,20171201,11,5.6,5.39,20170915,10.16,17476000
