weeknum,close,bounce price,roi
1,32.13574468085107,31.702914893617024,0.013652681107918872
2,32.37848924731182,31.81501612903226,0.017710917259770694
3,31.786236559139763,31.81501612903226,-0.0009045907685784154
4,31.911946236559135,31.81501612903226,0.00304667793138174
5,32.48630107526883,31.81501612903226,0.021099626148672557
6,32.53833333333331,31.81501612903226,0.02273508840503158
7,32.92173010752688,31.81501612903226,0.03478590028073896
8,32.958924731182805,31.81501612903226,0.03595499048346203
9,32.51372043010753,31.81501612903226,0.021961463047560217
10,32.378260869565224,31.991483695652175,0.012090004252150859
11,32.421919780219774,32.183478021978026,0.0074088250523736765
12,32.478791208791215,32.183478021978026,0.0091759251940241
13,32.73101123595506,31.975691011235952,0.023621701387272424
14,32.853258426966306,31.975691011235952,0.027444830368856934
15,32.74782921348314,31.975691011235952,0.0241476627346652
16,32.609943820224714,31.975691011235952,0.019835468411484584
17,32.71932584269663,31.975691011235952,0.02325625523462084
18,33.20270786516854,31.975691011235952,0.03837342728579118
19,33.59191011235954,31.975691011235952,0.05054524390280312
20,33.90573033707866,31.975691011235952,0.060359581444682744
21,34.121104545454564,32.14950568181819,0.06132594644375481
22,34.004886363636345,32.14950568181819,0.057711017400415114
23,34.30875862068964,32.28133908045977,0.06280469144035856
24,34.684712643678154,32.28133908045977,0.07445086330613736
25,34.79372093023255,32.22751744186046,0.07962771234246037
26,34.61691860465118,32.22751744186046,0.074141645167093
