weeknum,close,bounce price,roi
1,36.17641025641027,35.95479572649573,0.006163698762199554
2,37.03534051724137,35.81475086206897,0.034080640679958425
3,37.06474137931034,35.81475086206897,0.03490155556450412
4,37.50310344827586,35.81475086206897,0.04714126290335321
5,36.972293103448266,35.81475086206897,0.03232026507282611
6,37.235603448275874,35.81475086206897,0.039672273351249676
7,37.24002758620692,35.81475086206897,0.03979580172502184
8,37.904310344827586,35.81475086206897,0.05834354372046316
9,37.46007586206897,35.81475086206897,0.04593987003669336
10,37.536084482758625,35.81475086206897,0.04806214141538821
11,37.120956896551725,35.81475086206897,0.036471174670829415
12,37.12405172413795,35.81475086206897,0.03655758676393997
13,36.66896637931033,35.81475086206897,0.023850941209423715
14,35.99508706896553,35.81475086206897,0.005035249514678456
15,35.57478260869565,35.947835652173914,-0.010377621815340224
16,35.71615652173912,35.947835652173914,-0.006444870079981603
17,34.82947826086956,35.947835652173914,-0.03111056259757674
18,35.3479,35.947835652173914,-0.01668906183890465
19,34.28147826086956,35.947835652173914,-0.046354873974271675
20,34.720782608695664,35.947835652173914,-0.034134267646904776
21,32.410782608695655,35.947835652173914,-0.0983940473552365
22,32.96592782608695,35.947835652173914,-0.0829509697034191
23,32.259478260869564,35.947835652173914,-0.10260304478390204
24,32.45589652173913,35.947835652173914,-0.09713906462192293
25,32.475789473684216,35.90009736842106,-0.095384362320671
26,31.213771052631575,35.90009736842106,-0.13053798344044978
