,Close,Date,Open,Ticker
0,3.3400,2018-01-12,2.8800,XXII
1,2.8000,2017-12-29,2.4000,XXII
2,2.3300,2017-11-30,2.0900,XXII
3,2.1200,2017-10-31,2.8000,XXII
4,2.7700,2017-09-29,2.2200,XXII
5,2.2000,2017-08-31,1.8500,XXII
6,1.7500,2017-07-31,1.8000,XXII
7,1.7500,2017-06-30,1.3900,XXII
8,1.3700,2017-05-31,1.4700,XXII
9,1.4000,2017-04-28,1.1600,XXII
10,1.1800,2017-03-31,0.9800,XXII
11,0.9600,2017-02-28,0.9600,XXII
12,0.9500,2017-01-31,1.1400,XXII
13,1.0900,2016-12-30,0.9900,XXII
14,0.9800,2016-11-30,1.3100,XXII
15,1.2900,2016-10-31,1.4600,XXII
16,1.4500,2016-09-30,1.0000,XXII
17,1.0200,2016-08-31,0.8500,XXII
18,0.8493,2016-07-29,0.8180,XXII
19,0.8121,2016-06-30,0.9200,XXII
20,0.9141,2016-05-31,0.8850,XXII
21,0.8160,2016-04-29,0.7830,XXII
22,0.7830,2016-03-31,0.9700,XXII
23,0.9600,2016-02-29,1.2800,XXII
24,1.2500,2016-01-29,1.3800,XXII
25,1.4000,2015-12-31,1.4900,XXII
26,1.4900,2015-11-30,1.4200,XXII
27,1.4100,2015-10-30,0.8400,XXII
28,0.8400,2015-09-30,0.7600,XXII
29,0.7757,2015-08-31,0.7410,XXII
30,0.7600,2015-07-31,0.9500,XXII
31,0.9400,2015-06-30,1.0800,XXII
32,1.0700,2015-05-29,1.0100,XXII
33,1.0100,2015-04-30,0.8499,XXII
34,0.8600,2015-03-31,0.8200,XXII
35,0.8171,2015-02-27,1.2400,XXII
36,1.1700,2015-01-30,1.7100,XXII
37,1.6500,2014-12-31,2.0000,XXII
38,1.9600,2014-11-28,2.2300,XXII
39,2.2000,2014-10-31,2.5000,XXII
40,2.5200,2014-09-30,3.0500,XXII
41,3.0500,2014-08-29,2.3700,XXII
42,2.3900,2014-07-31,3.0800,XXII
43,3.0700,2014-06-30,3.0500,XXII
44,3.0500,2014-05-30,2.7100,XXII
45,2.6800,2014-04-30,3.3200,XXII
46,3.2500,2014-03-31,4.4500,XXII
47,4.3400,2014-02-28,2.7000,XXII
48,2.5900,2014-01-31,2.1500,XXII
49,2.1400,2013-12-31,1.3200,XXII
50,1.3000,2013-11-29,1.1400,XXII
51,1.1600,2013-10-31,1.3000,XXII
52,1.2900,2013-09-30,1.2000,XXII
53,1.2000,2013-08-30,1.5200,XXII
54,1.5800,2013-07-31,0.7200,XXII
55,0.7100,2013-06-28,0.6000,XXII
56,0.5900,2013-05-31,0.6100,XXII
57,0.6000,2013-04-30,0.8800,XXII
58,0.8800,2013-03-28,0.7550,XXII
59,0.7000,2013-02-28,0.7800,XXII
60,0.8700,2013-01-31,0.7500,XXII
61,0.7500,2012-12-31,0.4499,XXII
62,0.4100,2012-11-30,0.2500,XXII
63,0.2500,2012-10-31,0.2500,XXII
64,0.2800,2012-09-28,0.4200,XXII
65,0.4200,2012-08-31,0.5100,XXII
66,0.5090,2012-07-31,0.3800,XXII
67,0.3500,2012-06-29,0.6000,XXII
68,0.6000,2012-05-31,1.0900,XXII
69,1.1000,2012-04-30,0.6200,XXII
70,0.6200,2012-03-30,0.3500,XXII
71,0.3500,2012-02-29,0.5600,XXII
72,0.5500,2012-01-31,0.4200,XXII
73,0.4200,2011-12-30,0.9900,XXII
74,0.9900,2011-11-30,0.6000,XXII
75,0.6000,2011-10-31,0.5500,XXII
76,0.6000,2011-09-30,1.2000,XXII
77,1.2000,2011-08-31,1.2000,XXII
78,1.1500,2011-07-29,1.2000,XXII
79,1.1500,2011-06-30,1.2200,XXII
80,1.2200,2011-05-31,1.2000,XXII
81,1.2000,2011-04-29,1.2000,XXII
82,1.2000,2011-03-31,1.4000,XXII
83,1.4000,2011-02-28,1.2800,XXII
84,4.9900,2018-01-12,4.8500,FAX
85,4.8800,2017-12-29,4.9000,FAX
86,4.9100,2017-11-30,5.0400,FAX
87,5.0300,2017-10-31,5.1400,FAX
88,5.1600,2017-09-29,5.1500,FAX
89,5.1300,2017-08-31,5.2000,FAX
90,5.1800,2017-07-31,5.0400,FAX
91,5.0000,2017-06-30,5.0300,FAX
92,5.0300,2017-05-31,5.0000,FAX
93,5.0000,2017-04-28,5.0000,FAX
94,4.9900,2017-03-31,5.0000,FAX
95,4.9900,2017-02-28,4.8200,FAX
96,4.8000,2017-01-31,4.6400,FAX
97,4.6300,2016-12-30,4.7400,FAX
98,4.7300,2016-11-30,4.9300,FAX
99,4.9200,2016-10-31,5.1400,FAX
100,5.1200,2016-09-30,5.2800,FAX
101,5.2900,2016-08-31,5.2700,FAX
102,5.2400,2016-07-29,5.0300,FAX
103,5.0100,2016-06-30,4.8500,FAX
104,4.8500,2016-05-31,5.0400,FAX
105,5.0400,2016-04-29,5.0100,FAX
